,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
22,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
23,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
24,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[1365, 1488, 1714, 2337, 3636]",5
25,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[899, 1198]",2
26,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[117, 946, 1240, 4217]",4
27,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[214, 1579, 3716, 14001]",4
28,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[57, 182, 1246]",3
29,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[17701],1
30,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[523],1
31,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[6776],1
32,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[49, 1183]",2
33,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[44],1
34,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[43, 102, 137, 188, 212, 216, 231, 301, 484, 990, 1428, 4236, 10701]",13
35,"activation, line, activate, prevent, locate, switch, emergency, personnel, valve, incorrectly","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
36,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[1229, 1520, 1619, 1916, 1997, 5656]",6
37,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[5477],1
38,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[432, 2256]",2
39,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[1372],1
40,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[57, 182, 1246]",3
41,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[282, 309, 326, 787, 863, 12901]",6
42,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal",[1760],1
43,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[1219],1
44,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[4582],1
45,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[6696],1
46,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door",[4218],1
47,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[4477],1
48,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[2917, 18802]",2
49,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[2041],1
50,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[1329],1
51,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1195, 1210]",2
52,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify",[1182],1
53,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
54,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[602, 734, 762, 804, 810, 835, 891, 1057, 12101]",9
55,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance",[732],1
56,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","[224, 518, 653, 656, 657, 663, 704, 706, 715, 721, 791, 1018, 1165, 1261, 1626]",15
57,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[98, 105, 561, 859, 1094]",5
58,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","management, project, lack, formal, manager, organization, contractor, request, risk, development","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify",[52],1
59,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[784, 1469, 18804]",3
60,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[5896],1
61,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1594],1
62,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance","[911, 1000, 1016]",3
63,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[530],1
64,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[346],1
65,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[202, 246]",2
66,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[14, 75, 169, 181, 907]",5
67,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[86, 1377]",2
68,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[11, 12, 121, 190]",4
69,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[15],1
70,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","passage, blockage, quick disconnect, science instrument, compression, flow path, alteration, loosen, horsepower, gathering","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[241],1
71,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","pound, research center, particle size, high density, manipulation, warning, solid propellant, larc, cast, destroyed","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[517],1
72,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","[156, 622, 1019, 1211, 1325, 1351, 1398, 1500, 1621, 4416, 19101]",11
73,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[711, 737, 798, 1618, 6137, 6216]",6
74,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[1533, 5879]",2
75,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","[2196, 6342]",2
76,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[819, 1318]",2
77,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[956, 958, 967, 5196]",4
78,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal","[265, 934]",2
79,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[466],1
80,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
81,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[100, 1766]",2
82,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[475],1
83,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","[35, 957]",2
84,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door",[16501],1
85,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","rate, destructive, solar, earth, appear, radiation, acceptable, general, state, error","[89, 1054, 1056, 1107, 1114, 1162, 1312, 1835, 2839, 4456, 6636, 18901]",12
86,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[1265],1
87,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[572, 614, 1263, 1352, 1839, 2046]",6
88,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[1259, 1266]",2
89,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","rate, destructive, solar, earth, appear, radiation, acceptable, general, state, error","[224, 518, 653, 656, 657, 663, 704, 706, 715, 721, 791, 1018, 1165, 1261, 1626]",15
90,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[234, 500]",2
91,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[405, 1799]",2
92,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[463, 716, 764, 820, 839, 3177]",6
93,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider",[1601],1
94,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[244, 1416]",2
95,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","[322, 377, 660, 693, 766, 1093, 25503]",7
96,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[911, 1000, 1016]",3
97,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify",[509],1
98,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[415, 420, 499]",3
99,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","[33, 493, 993]",3
100,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[39, 6356, 21803, 24501]",4
101,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[43, 102, 137, 188, 212, 216, 231, 301, 484, 990, 1428, 4236, 10701]",13
102,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[55, 168, 588, 604, 985, 1205, 1308, 1327]",8
103,"assign, approximately, astronaut, radiation exposure, radiation, health, duration, experienced, exposure, similar","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
