cluster,Phase,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,SAFECOM
In-flight Collision,Retardant Drop (Airtanker); External Load (Longline) (Non-Fire); Air Attack; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Retardant Drop (Helicopter); Aerial Ignition (Prescribed); Detection; Retardant Drop (SEAT); External Load (Longline); Water Drop (Helicopter Bucket); Aerial Ignition; Other; Ferry/Repositioning Flight (Non-Fire); Passenger Transport,"32 self locking, nut, from, wires running perpendicular to the, passing over the, target, was over the middle of the, span, saw both poles and, wires, departed, missing, door, missing door, latch, maneuvered the aircraft too close to this, fence, touched, the barbed, wire, - pilot say, ' ', had,","rear engine spinner was observed to be, wo, had come, loose, the spinner centering, plate, wire, strike, scrape, to the nose, normally, bird, stro, light com, impact of the, contacting the, abnormal, characteristics, side, bird st, red, hawk, diving, hawk rolled and went knife, clipped the, wing, of the, a,","struck, damaging the, plastic, spinner to, wobble, cone, nick, bang, damage, to, tip, scratches were, to the fiber, wing, paint, bird, aircraft, remains of the, bird were, the back, of the, blade, edge, startled, down, bucket down, striking two, trees, dumped the, tree, went by the, damaged, thump, folded, it,","inspected, the, shut down, gages, propeller, wing area and engine intake were, supression, shut, replace, main rotor, blades, rec, performance, trouble, went to the rear, looking at the horizontal stabilizer, all engine, not, vehicle, day off, bird, coordinator was contacted, arranged, maintenance, personnel, inspect the, damage, inspect, contacts where made,","aircraft, blades, the pilot, make a drop on a, hotspot, , park, spot, perform, strike inspection, appropriate",3,0.43478260869565216,1.3043478260869565,17-0863
Inadequate PPE,Retardant Drop (Airtanker); External Load (Longline) (Non-Fire); Air Attack; Ferry/Repositioning Flight; Initial Attack; Water Drop (Helicopter Fixed-Tank); Survey/Observation (Non-Fire); Helitack; Passenger Transport; Aerial Ignition (Prescribed); Detection; External Load (Longline); Water Drop (Helicopter Bucket); Passenger Transport (Non-Fire); External Load (Belly Hook),"members of stat team on flight, line, without proper, pp, were, without hard hat or, gloves, wore a, fire line hard, hat, does not have necessary, not provide mechanic with flight, flight, t, passenger was not wearing, machanic had no pp, on, seatbelt was unho, seat belt, a shoulder, harness,","drove, un - expected, serge, in the fueling, hose, fuel, splashed, departed, without, my mic cord snag on the seat belt, gotten out the, door, danger to, took, fire, safety, concerns, operation, him, helmet, discharging the, injump startin, helicopter, problems, down, disc, jump start the, ina, “, jump start ”,","transport, woman, from the, aircraft, ppe, , two, civilians were, evacuated, up, have to, land, would not save, him, battery, delay in a, mission, the, seat, civilians, consumed, danger, pax, dogs, firefighters boots were, damaged, they were non, functional, off the, ship, in the, injuries, damage, slumber","flight helmet, all other ppe requirements were, complied, with, to, craig, mechanic routinely accompanies pilot, maintenance /, attention, transporting, 212, repositioned the cord &, visually checked the seat belt, wearing a rappell spotter, briefed the passengers, timber, of a fire, shelter, evacuate them, civilians were, glasses, briefing, aboard, the pilot",", suit, helmet, purchase their own flight, helmets, and, suits, denying the, increase the mechanics, day, separate the aircraft from the, mechanic, allow the mechanic to fly without required, ppe, loan the mechanic the required, restraint, systems, other, / shoulder, harness, is left, out, define harness, requirements, a, headset, talked,",3,0.17142857142857143,0.5142857142857142,05-0739
Intrusion,External Load (Longline) (Non-Fire); Paracargo; Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Aerial Ignition; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Cargo Transport (Internal) (Non-Fire); Cargo Letdown; Retardant; Initial Attack; External Load (Belly Hook); Rappel; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"same, c, no color, pattern, or numbers, observed, reported, direction, flight, aircraft might, enrou, to p, activity, horizontal, dc -, t, coon fire tfr had not been included in the, briefing, wing, tail dragger, no radio contact could, established, quick turn, civilian, in, tfr, airspace, aircraft left, aircraft, followed, single,","airspace, intrusion, light single fixed wing, aircraft, over - flying, -, helicopter flew over aztec, peak, flew, over the, be, near, miss, military, 150, turned into, drawing a, bea, away from, engine, fly by through a, tfr, wing, t, violation, small fixed - wing, non incident, target, fly, zone, tail","left the, no tail, number, was, no, with a, jet flew within, ft, nearly missing, nose, off, , picked, shut down, flew directly over, interfering with, accident, could not make contact with the, contact, threat, to, low, not, helicopter, an, warning, one was, injured, aircraft were, damaged, halt, communications were","contacted seattle center, tfr, intrusion, attempted to make radio, contact, divert, restricted, airspace, a tail, number, notified, safety, air operatoins was notified, administrative procedures, and, tfr was still in place, dispatch was, notified dispatch, call was made to the faa gado, tracon was, coloring, same, the color, scheme, the, with","visit, crew, dispatch, down, 176, try, , watch for, discuss, remind, tfr, maroon and, white, come, contact, color -, white with blue, trim, routes, asked for aircraft type &, number, resource, request a -, 4, plane, -, continue to watch for the, aircraft, s, roads, reported, stay, holding, not go,",4,0.02643171806167401,0.10572687224669604,00-0146
Jumper Operations Hazards,Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Retardant Drop (Airtanker); Air Attack; Helitack; Aerial Ignition (Prescribed); Detection; Passenger Transport (Non-Fire); Retardant; Initial Attack; Retardant Drop (Helicopter); External Load (Longline); Smokejumper; Passenger Transport,", ridge, road, tall slender, tree, chute was hung up, well, not immediately, “, charlie, horse ”, had, not hit, hard, lay of the ridge and, trees, similar, experience, chute had not, slipped, small, spot, appropriate approach, 250, flat, s, first, jumps, slope, hand, no radio, contact, had been, made,","inoper, jumper, landing, smoke, straight, up, sudden, unexpected, surge, - degree, dog, to, minor, turn, seamed to, slip, or slid to the, right, landing in a, the bo, of the, hard, above, was, dan, as, had no, life, fade, away, difficulty, pain, a, charlie, horse, on, dislocated, shoulder, the tree,","jump was, aborted, injured his, toe, upon, minor, sprain, released, stagnant, tree, 20, the, ground, it, knock my shoulder, out, turn, complete, have, landed on the, road, brushed, chu, collapsed, he, fell between 30 and 50, feet, load, jumped, injury, landed, rocks, fracture, collapsing his, parachute, falling 30 ft. to","pointed out a, clear, landing, very comfortable about, single person, sticks, exit, clean, left to, were, utilized, helispot was, selected, improved, jumper, and spotters were, thoroughly debriefed, jump spot and conditions were, acceptable, obstacles were, identified, pre - jump low, pass, proper, low pass was made, jump, hazards were, ground",", use, stay just, final, importance, making final approach and, set, -, up, consistent with the, status, perform full, duties, intention, check in with the, center, pilot be notified to, check, in, with us, operations, split, good working, communications, “, refuel, conducted low, pass, jumpspot, climbed, audible anomaly, clear, place,",3,0.7719298245614035,2.3157894736842106,02-0889
Landing Gear Malfunction,External Load (Longline) (Non-Fire); Paracargo; Cargo Transport (Internal); Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Letdown; Retardant; Initial Attack; Rappel; Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"landing gear, left in the down, position, gear door, cable, on left main gear out of, rig, had no hydraulic, pressure, system was continously, cycling, problem with landing, gear, began to crank down the landing gear, manual, mechanical, left side landing gear doors had not retracted flush with the, cow,","gear, normally, and, down, fu, green landing gear light, blinked, red landing gear unsafe light, illuminated, lost nose wheel, steering, pumpkin, fire, gear failure light had, lit, popped the, breaker, not, gear door did retract to, closed, smoke, dropped the gear to drop airs, loose, doors, did not seat fully,","loud, bang, landing gear fell to the down, locked, position, altitude, damage, didn, extinguish, minor, damage to the left, door, aborted, load, , view, remained, landing, stayed, green, lights, rec, damaged both # 2 prop and landing, light, placed out, service, 300, landed, would, not, affect the aircraft's, aerodynamics, the,","landing gear was, retracted, down position was, selected, gear down and locked lights, illuminated, visual, was, problem, normal approach was, check the landing, gear, right main landing gear diverter valve,, presurized and, leak, checked, rec, air attack, cleared, back into the, re, reset the main circuit, breaker, inspected, returned, company","request to substitute tanker, 10, fly, doors, , ask, they could, verify that the gear was full, up, low, look, attempt to find a maintenance, facility, transit, transit to, determine, aircraft be, put up on, jacks, gear, cycled, return, open, change, the, availability, tower, wheel, checked, reservoir, area, switches, procedures,",4,0.12254901960784313,0.49019607843137253,18-0632
Load Limits Exceeded,Retardant Drop (Airtanker); External Load (Longline) (Non-Fire); Air Attack; Initial Attack; Helitack; Rappel; Aerial Ignition (Prescribed); Retardant Drop (SEAT); External Load (Longline); Water Drop (Helicopter Bucket); Smokejumper; Passenger Transport (Non-Fire); Other; Ferry/Repositioning Flight (Non-Fire),"1000, lbs, ., short, axis, far, setting, sun, to down sloping, little, wind, 6500, 23, meadowy bowl, small sappling, trees, large, timber, to, barriers, crash, positions, struts, above allowable, limits, performed, wrong, incorrect, chart, brought the equipped weight down to line 12, the, temp was, warmer, actual, ci, load, operation,","lifted and, directly over, top, clipped the top of the, restricting, turn, towards, to see, fire, rate of, decent, unable to arrest the rate of, emergency, absorbed, to, head temp gauge, were operating at and, load calculation, aircraft was exceeding allowable, cable detached from the belly of the, trouble picking","diverted, was, sent, flew, the, nearly, trees, visibility, blinded, unable, dec, ground, impact, aircraft, rest, vacated the, injuries, out, damage, payload, rapps, bucket, dropped, on, property, damaged, fall, valve was, , unavailable, began, losing left pedal, effectiveness, fell, payload to become 35 pounds over the allow, weight, helicopter, exceeded the","contacted helibase, check the, we manifested the crews for the allowable, payload, what his allowable, down loaded, ige, oge, departure, handed the pilot the manifest, noddedhis head in agreement, flown to the left, exit the, the, and, reviewed the manifest, parking, recon of the, fire, was, quick reference to the","tender, back, confined area operations should be, reviewed, by all, staging operations are not stacked against, in, comments, more, vocal in, debriefs, perform, inspections, errors regarding, payment, sling, replace, safety, concerns, double, check belly, hook, , routes, rid, cautious, over -, temp, fence, pilot is, they don't exceed 700, lbs,",3,0.21739130434782608,0.6521739130434783,09-0715
Medivac,Retardant Drop (Airtanker); External Load (Longline) (Non-Fire); Air Attack; Cargo Transport (Internal) (Non-Fire); Initial Attack; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Observation (Non-Fire); Helitack; Reconnaissance (Non-Fire); Retardant Drop (SEAT); External Load (Longline); Water Drop (Helicopter Bucket); Smokejumper; Other; Ferry/Repositioning Flight (Non-Fire); Passenger Transport,"pilot, squeezed the electric hook, release, squeezing the transmit trigger, pilot does not normally fly with the hook, armed, transferred, magnet, provider unhooked the transfer, hose, from his, truck, a, check, valve, dry, cement, was, swept, onto, directed, flare, horses, did not appear to be the range, rider, range, sitting","smoke, inadvertently released a, 270 gal, bucket was falling faster than the, medical, patient, being, of, released early, ' s parachute skimmed a, parachute broke free of the, tree, jumper, back, pain, striking a rock on, jumper reported, pipe ) vibrated, loose, caught, in the prop, wash, bruised, jet fuel,","received an, injury, transported, treated, released, full, bucket, bucket was, serious, to ground, people, concerned, the, patient, hit, member was takenin for, medical attention, tree, collapsed the, canopy, jumper fell 30 - 40 feet to the, ground, top, the tree, broke, out, fell on the, jumper, complained, impact, injuring his,","rep, put on light, duty, first aid, given, med, fracture, ua, helicopter, medi - va, consultation with a doctor, satellite, phone, transport, prepare, that, definition, fire department and ems were called and responded, check out the spill, examine the spill, victim, contained, up, absorbant, pads, fuel, boom, spill vicim was,","fly with the electric hook release, armed, , discussion, risk, assessment, -, vac, victim be, transported to the, hospital, items, be removed far enough from the rotor, wash, of like, from the, performed at idle or full, rest, rotor, back, go, directly to, helicopter, make, security in process, helispot, assist,",3,0.7073170731707317,2.1219512195121952,00-0836
Oil Malfunction,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Rappel (Non-Fire); Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Letdown; Retardant; Initial Attack; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"2, low oil, pressure, sump oil screen, plugged, and, oil pressurerelief valve carbon, foul, line, low, not driving, gauge, c -, box, no, utility hyraulic pump was stuck on high, high oil, te, low oil pressure, feather, engine, oil was, leaking, from, hot section, seal, flashing transmission oil pressure indicator,","eng. had a, hi oil temperature gage, reading, fluct, in the # 1 engine oil, pressure, , transmission oil pressure dropped to 20, psi, blown transmission oil, tq. gauge, fluctuated, era, gauge, flu, oil pressure transmitter was, be, the, pressure oil, mal -, function, hoist oil temperature, light, came, on,",", out - of -, service, aircraft was, placed out of, was, shut down, jettisoned, loss of, availability, the, ab, off, down, recn mission was, terminated, landing, placed out - of -, drop the, blew the re, hill, dispersed over the, damage, shut engine, pressure, to the, fire, from, sign,","jett - ison, cleaned the oil, screen, de - carbonizedthe relief, valve, and power, checks, pulled oil pressure, gauge, fixed loose, ground, pulled the cannaon, plug, cleaned the electrical, connections, test, airworthiness inspector, tq., transducer, replaced, shut down, principle technician was, certified a & pexamined the problem, corrective, were, flight,",", contacted, service, connection, perform, inspector, be, shut down, pre, inform, do, r, checks, pressure, on, order, level, continue, return to, ramp, for shut, down, and, inspection, up, look, department, hike, pickup, availability, informed, land aircraft at the emergency, pad, checked, gauge, inspect, head, set, notified, situation, go, trouble shooting,",4,0.10309278350515463,0.41237113402061853,06-0925
On-board Caution Light Illuminates,Ferry/Repositioning Flight; Cargo Transport (Internal); Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Helitorch; Survey/Observation (Non-Fire); Helitack; Detection; Aerial Ignition (Prescribed); Ping-Pong Ball; Passenger Transport (Non-Fire); Retardant; Initial Attack; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"# 2, generator, c - box, on the, aircraft, unknown, location, system, t. o. t., light, was, illuminated, t. o., ., fu, engine, removed, on, plug, hydrater # 2, light on, #, boxin pressure, flickering master, bad box which, c, te, oil, have, cooled enough, caution light remained, off, hit,","generator fail, light, came, on, reset, problem, low fuel preasure, master caution, oil pressure ) came, oil, ' s, ng excedence light had come, 2 hydralic lights, illuminated, caution, 2 hydrolic light, hydrolic fluid was, leaking, pressure indicator was reading 0, pressure, unusual, sound, hydraulic segment, scass null, loss of","ab, takeoff, down, yaw, damage, was, grounded, , light, extinguished, ship, on, shut down, pressure, dropping, flickered, and went, out, went, not, land, light went, off, operation was, mission was subsequently, ', aborted ', no, made, unavailable, was made, not losing, landed, both engines, running, exceeding, day, continued to, status,","taxi, f, main, hydraulic, was, shut, jet, grass, strip, passes were, evaluate the desired airs, -, immediaely, landed, at refuel, and, shutdown, maintenance, corrective, action, replacement prt, reset master, caution, monitored engine oil, post, checked engine, oil, run - down, normal, inspected, removed chip, detector, cleaned and reinstal, chip, sample","replaced and, repaired, , oil, for, leaks, conduct, inspector, look, give, maintenance, land as soon as, possible, reload, airport, temporary hangar, space, immediate shut, down, reset panel, caution, reset master, resumed, visual, closed, investigate, inform, mechanic, do, check, return to, as soon as, appropriate, completed, panel",4,0.20155038759689922,0.8062015503875969,08-0441
Personnel Duty Hours Exceeded,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Cargo Transport (Internal) (Non-Fire); Retardant; Initial Attack; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"no, exceeding, restrictions, he / she may get, diverted, bad, extra flight, time, last, over, gu, trip, failed, not, come back, rest, period, did not meet the, day, guidelines, fuel, coil, exceeded, hours, pilot kept going, northeast, were, thick, smoke, pilot, never stayed on one, heading, operating his g. p.,","pilot and, mechanic duty day, exceeded, flight time, overlooked, day, control, routed around, weather, duty, exceeding, were not, were, pilot was, to, on, # 9 cylinder was, dead, two, fouled spark, plug, the, / 42, hour, of, getting too close to mt, wash, visibility was, bad, a map, trouble, 14","duty, day, limitation, breached, hours, out of, 12, not, available, home, duty day was, extended, hour, , twelve, out, control, reading, difficult, landed, three, late, exceeded this duty, minutes, was, exceeded, by, 2, canceled, total flight duty was, bump, did, 30, time, exceeded their, helicopters were out, service, additional, operation,","stand, left, in the, has, remain, night, all were, replaced, test, new atgs was assigned, reviewed the pilot's flight hour, record, t call, land, the lat &, decised our current, location, thier full rest, fly, drops passenger, air attack remained, air attack, informai, how much gear was, involved, duty, went","not, go with, instructor, , go, reload, waiting time, involved, or air, attack, contacted, manager, include, entering incident airspace, protocol, no contact, no, enter, remind, submitted, hard, copy, request a'''' relief pilot /, aircraft, ' ', or, return to the, ground, pilot, have, refused, mission, more, limitations, shut, down, wait",3,0.11688311688311688,0.35064935064935066,08-0299
Radio Malfunction,Retardant Drop (Airtanker); Air Attack; Retardant; Initial Attack; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Helitack; Leadplane; Retardant Drop (SEAT); External Load (Longline); Smokejumper; Water Drop (Helicopter Bucket); Other; Passenger Transport,"minute, contact, did not receive their, transmission, radio technician could not identify any specific, problems, request, radio communications with, dispatch, inadequate, communications, with forest, flight following frequency was not, functioning, net, frequency, calling, communicating directly with, no difficulty communicating his off, times, did not know the location of, had a,","15 -, check - in, time, came, due, sporadic radio, problems, problems with our, radio, become, marginal, non - exist, back up, drop back down to, resource, order, fire, no, tankers showing up, una, bucket had come off of, fallen into, lake, bucket sank into about 100, of, water, the,","confusion, , both long line and bucket were lost in, it, and long, detached, aircraft, landed, bucket was, sever, damaged, retrived, to no, communications, radios, are basically, useless, the atgs to turn down the guard as, safety of air, communications were able to be, ground, air, resources, to switch, incidents","flight following, use one of our lookout towers to contact, us ona land - line, check in, radio technician check out all our, channels, for, atgs, quick ass, of, fire, air, tanker, climb, to gain altitude to talk to, drop back down, communications, go through, frequent ascent / descent, maneuvers,",", call with off, times, re, information, ., get some, info, get receiving unit dispatch office up on flight, following, off, time, load and return, requests, dispatch, removed it from, replace, hook, no, longer be able to perform, operations, follow, interference, form, fill, forward, techs, please, fix, faa, assignment of",3,0.2857142857142857,0.8571428571428571,01-0322
Severe Weather,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Cargo Transport (Internal); Cargo Letdown (Non-Fire); Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Aerial Ignition; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Survey/Observation (Non-Fire); Helitack; Detection; Aerial Ignition (Prescribed); Ping-Pong Ball; Passenger Transport (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Retardant; Initial Attack; Retardant Drop (Helicopter); Rappel; Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"control, minimal, air, chop, not, unbearable, without, warning, least, 80, angle, severity, turbulence, 250, flat, first, jumps, slope, taxiway, open, inadvertently hit, switch, no, personnel, broken, cub, container, dressing, strong head, winds, helicopter, erratic, thunder, tree, at seperate, locations, differing visual, perspectives, torch just, top, below the, possibly, heat, unit,","moderate, turbulence, f -, through the, of the, severe, down, up, a, rotor, cloud, attitude, changes, were pitched up, degree bank, unsafe to operate, strong wind, gust, bambi bucket was blown to the rear of the, fracture of the left patel, hit a, rock, low - level, in, scattered, smokejump,","severe, downdraft, and - 300 ft, altitude, differentials, extreme horizontal, heavy, rain, was, landed, rocks, inhibit, prevented the jumper from making the intended, jumpspot, backwards, burnt several small, holes, in the, parachute, it, received, burns, , load to, fall, approximately 20, damage to the, load, damage, scratches, immediately, started, blew","evasive, dispatch, were, groom slowed the, control, jumper, and spotters were, thoroughly debriefed, jump spot and conditions were, acceptable, obstacles were, identified, pre - jump low, pass, proper, jump, light duty, permission to, reposition, aircraft, this, action, ats were repositioned, where to move, ng ramp, , punch the bucket off,","return, status, perform full, duties, , using this, strip, be, replaced, ceased bucket, operations, devil, keep a, close, eye, land, turn, winds, tactics, make, note, book, documentation, speed, slow, descent, directions, exercise caution, just, “, knock - it -, off ”, come back another, divert, cone should be, gone in",4,0.4620253164556962,1.8481012658227849,12-0305
Tanker Loading Failure,External Load (Longline) (Non-Fire); Ferry/Repositioning Flight; Retardant Drop (SEAT); Water Drop (Helicopter Bucket); Other; Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Helitorch; Medivac; Helitack; Detection; Passenger Transport (Non-Fire); Retardant; Initial Attack; Retardant Drop (Helicopter); Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Passenger Transport,"end of, hot, turbine, in, cutter, ramp, fuselage, fuel originating under the, wing, not having the correct, hose, lefthand turn, line, feather pump, had been, too, return, ste, already had completed duty, hours, higher than normal oil, temperature, numerous, radio, on, un, around, without flight, following, did, not flight, follow,","the # 3, engine, loud, jettisoned load of retar, off the, power turbine had, failed, landed, grass, drop, liquid, dripping, leak, unable to de -, crack, ruptured a hydraulic, all, way in the, ru, 1 engine lost, power, after, -, off, damaged # 12, cylinder, severed crank, rod, failure, chip","lost, set, fire, aborted, return to, phx, fuel, 139 out of, losing all aircraft, hydraulics, stopped half, way, #, or master, , to, # 3 engine, power instantly, manual, plan was, cancelled, pilot was forced to jett, no, damage, had to be, towedback to, lost an, engine, load, over, complete,","taxi, fuel vendor was called to de - fuel the, fire dept. was called to respond, foot secured, area, fuel, vendor, was called, had the correct type of, hose, fueled, aircraft was, moved out of the, pit, hazmat, cleanup, -, maintenence inspector was, notified, quaran, operational, emergency gear dow, procedures,","check with your fuel, vendor, they have a suitable hose to de -, fuel, have, crash, rescue, on, scene, to, assist, , go, taken, procedure, box chip light, circut breaker, pull and reset, breaker, chip, de -, activated, assistance, jettison, compliance, inspector, shooting, complete engine, replacement, procedures, emergency, fire trucks",3,0.14285714285714285,0.42857142857142855,98-0116
misc,External Load (Longline) (Non-Fire); Paracargo; Ferry/Repositioning Flight; Cargo Transport (Internal); Air-Attack (Prescribed); Retardant Drop (SEAT); Cargo Letdown (Non-Fire); Water Drop (Helicopter Bucket); Infrared Imagery; Other; Aerial Ignition; Rappel (Non-Fire); Water Drop (Helicopter Fixed-Tank); Reconnaissance; Survey/Forest Health Protection (Non-Fire); Ferry/Repositioning Flight (Non-Fire); Retardant Drop (Airtanker); Air Attack; Medivac; Helitorch; Survey/Observation (Non-Fire); Helitack; Aerial Ignition (Prescribed); Detection; Ping-Pong Ball; Passenger Transport (Non-Fire); Paracargo (Non-Fire); Water Drop (Fixed Wing); Cargo Transport (Internal) (Non-Fire); Cargo Letdown; Retardant; Initial Attack; External Load (Belly Hook); Retardant Drop (Helicopter); Rappel; Reconnaissance (Non-Fire); Leadplane; External Load (Longline); Smokejumper; Passenger Transport,"oil fitting below l / h servo, leaking, hot, on the, small, the rear torque meter filter, seal, actually out, service, was, faking, maintainence, problem, lying about ifr, conditions, tankers were not, flying, at, prc, not, to make, rd, running past legal flight, hours, main, loose poppet, adjustment, 4, un",", oil, leak, ino - ring, small, cut, in, magneto, problem, aircraft was, of, a, left magneto, engine, failed, ignition lead had burned, through, landing gear would not retract, left magneto on, of radio communication, radio system, to, helicopter with a, sling, appeared, from, he, di, needless, exposure, fire, behavior,","cup of oil was, lost, loss of, availability, run, calls, the, aa, were, futile, the aircraft off the, fire, different, times, fly, were dispatched, new, damage, to, bubbles, pilot lost, an, engine, be, put the helicopter out of, service, shut down, released, shut, down, terminated, mission, put out of, ,","replaced the inoin ring, rec, flight & maintenance log, refueling, new replacement ino - ringin was, -, jerry burn, ok, dispatcher from called the tanker, base, the status of, called the office of, dispatch, discuss, safety, land, ron, lead was, replaced, engine was test ran, repaired and, replaced magnet, yellow",", reset, same, operations, unit, full attention should be devoted to the task at, it should be held, outside, responses to, queries, should be, immediate, information should be, kept to a, be, attention, to that, operation, education, addressed, load and, hold, heat, fly with the, helicopter, look at some of",5,0.18080122382636962,0.9040061191318481,11-0618
