cluster,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,SAFENET
Food Supply Issues,"/, no, water and, soap to, stopped providing hand, towels, or filling up the instant hand sanitize, containers, waited, too long, had, look twice at the incident, name, camp, inadequate, briefing, thought, out, informing, team, were unprepared for the amount of, resources, were, do not have to contract out for,","health standards, were, lowered, sick, over, ripe, to, the same, problems, poorly, non -, strike, a, shock, unsafe, fire, camp, with, human, could do, of, rapid, in the morale of the, overhead, team, caterer was, substand, poor, sanitation, lunches, mold or, worms, overhead team, monitor, catering, no, burn, amounts of,","pretty, lame, had to, abandon the, mission, worst, feces, on, nothing, decline, issue was slow to be, dealt, leaving, overall, health, and, well being, of, , much, spillage, sludge everywhere, damage to the, bucket, equipment, return, unsafe, someone, been, severely, injured, were forced to, eat, large, spruce, moved, tree, dropped","provided, sinks with soap, water and, towels, baby, wipes, wipe, directly, the medic, washing, up of, dirty black and brown stained, basins, resource, vehicles were allowed to, in sleeping, kitchen, controlled, hazard, required to, wear, shelters, long lines, waits for showers, to, stand to, eat, water was to be, obtained,",", brought, being, just, go where you were, yesterday, agency representative should have been on site, 6, park, areas, be, personally, charged $ 7., required, lengthy, procedures, should be, fully, informed,, aware of the dangers, chemicals,, wear approved, ppe, outs, people should not be eating, outside, flyovers, be under, cover,",3,2,6,24712.0
Fuel Leak,"refuses to pay, attention, refusal to quite this, behavior, 6x6 inch, ignited pant, wasn't aware, torch was leaking, fuel, no, wind, steep, slope, in, s, on, heavy fuels on ground, movement limited, prescribed, being, conducted, fire effects data, collection, yelled, ', low fuel, moisture, long range, spotting, rapid, faulty pull,","alert, burns, leaking drip, torches, burn, patch, torch leaked, fuel, fire was difficult to, ex, erosion, fire, 6'diameter, southern pine snag broke from its root, sna, rates of, spread, pull cord came apart from the pull, time, to start the, pumps, liquid, sl, cans, non, civil, unit, / breathe, torch,","other firefighters at, risk, fire, system, fell, struck in the, head, and upper, back, the, tree, fell to the, ground, sustained, on the, ,, and, individual lost, consciousness, regained, sustained a, concussion, was, treated, injuries, released, valuable, wasted, structures, extinguishers, penalties, $ 10,, 000, being, assessed, gas, can, problem, helicopter,","drip torch, fuel, safety, other, treated, and, released, er, applied first aid, for advanced medical, care, rescue, went to start the, pumps, take the pulley, off, wrap the cord around the pull, hazmat, was loaded in the, laundry, piled, cache van was, unloading, hazmat shipping, divide, completion of this, form,","clear, 75 to, %, slopes, adequate, footing, on long, dry, soil, proper use of, systems, cache for, instructions, hazardous material must be entered as the first, item, or, highlighted, (, cdsp ), stored or cache, unit, and, replace as, necessary, person, , hercules, and double, jointed, to hold open, lift",3,2,6,28762.0
Heart Attack,"not, and, marijuana, off the, aren't doing, will not get drug, tested, unsafe to have, out there, for using, drugs, drug, ', heart attack, victim, cp, no backup uhf radio, system, repeater system coverage is, inadequate, no way of knowing, experiencing, not experiencing chest, pain, arteries, artery, observation, radio tech","issue, drunk, driving, possession of cocaine, burn, continuing, rehire, rights, firefighters, negligent, abuse, safety, issues, t, in top, shape, heart, call was, had, health, lpf radio system, obsolete, problems, server, failure, entire forest system was, down, chest, pain, pains, firefighter had suffered a heart, attack, block, blockages, position, difficulty hiking","people, were, arrested, think they, re, invincible, busted, promoted, son, was, killed, be, attacks, down, is, , gone, struggle, ended up, being transported, had to","call, layed off, 911, formed a human, repeater, network, managed the, incident, call was placed to the, wishes, doctor, doctors ran several tests, determine, transported, ran further, tests, medical, test, angiogram and, stint, removed, held over for, supply satellite phones, cell, phones, pull crews off, figure out the, places, try,","bad, namer, feel safe, trust that they can help, run you, over, , have critical positions, filled, in a timely, manner, see a, physician, seek, care, make, see",3,4,12,25333.0
Heat Exhaustion,"call went in, 911, prior, not, able, take any of the pack, tests, time of day that the pack test is, taken, weather, mid, light, partial cloud, cover, quality and accuracy of the fundamental, physical, question, individual ’ s ability to judge sensibly their own, condition, self - destructive, habits,","work capacity, test, heat, exhaustion, seizures, to, injuries, suffer, been, sketch, poor, com, radio commo with, deteriorated, to use, repeat, fire, delay, issues, became, to establish radio contact, severe foot, pain, advanced signs of, compartment, syndrome, fa, signs, de, rhabdomyolysis, excess, protein, in the, blood, muscle, damage, acute kidney, failure,","ardu, was not able to, finish, collapsed, the, ground, findings, both the, and fire, fighters, at, suffering, exhaustion, dizzy, was, extremely, pale, passed, out, suffered, symptoms of, entire muscle group on the, of the, s, dead, y, firefighters were, hospitalized, firefighters, transport, complained, pains, nausea, being, transported, by, ambulance, to,","emt, immediately went to the assistance with a medical kit and oxygen bottle / mask, setup, ambulance, fire department, treated, full, examination, local dispatch has been, established, fire, restrictions, establish, in contact with, a telephone, relay, tickets, been initiated and, closed, , em, rhab, protein, hike ~, miles, individuals were","use reasonable, judgment, to questionable, extremes, , watch, member, wake, keep monitoring, not to commit crew into suppression, efforts, monitor for, spots, tie, officer, inform, send, meet, error, the, find, chief, leadership, out, human element is present at all, times, be taken to the hospital, never be afraid to press",3,4,12,24349.0
Illness,"unknown, conditions, terrain, falling, delayed, omitted appropriate, paperwork, fellow, firefighters, delayed reporting, seeking medical, attention, lack of proper, agency, lack, due, regard, for the, patient, /, no, water and, soap to, stopped providing hand, towels, or filling up the instant hand sanitize, containers, waited, too long, fuels were, extremely, dry,","fire, in, tree, head, injury, into, barn, and, head and spinal, incident, of, responsible, health standards, were, lowered, sick, over, ripe, spotting, conditions, very difficult to see or even, breath, smoke, toxic off -, gas, no ability to survive direct flame, contact, design, direct flame, flam, to, the same, problems,","struck, head, spinal, patient, financially, responsible for, charges, fire, struck in, falling, tree, walked, symptoms, patient being, for hospital, pretty, lame, had to, abandon the, mission, extreme, nausea, headache, disorientation, situation, hazardous, individual's probability of, surviving an, entrapment, worst, feces, on, nothing, , hazards, decline, issue was slow to be,","contacted medical, control, instituted, spinal immobilization, protocols, provided, sinks with soap, water and, towels, baby, wipes, wipe, weather was, taken, on, to, hold and grid, thoroughly, tested, directly, the medic, washing, up of, dirty black and brown stained, basins, resource, vehicles were allowed to, in sleeping, driving, directions, kitchen, em,",", fire, shelters, brought, being, just, go where you were, yesterday, agency representative should have been on site, 6, park, areas, recon, go, call, be, personally, charged $ 7., required, lengthy, team, track down the source of the waste, water, tested, shower and, change, clothes, only, seek, practice of, dipping",3,2,6,25333.0
Inaccurate Weather Data,"lack of understanding, behavior, tri, warm & dry, weather, southwest, crown, fire, multiple, spot, fires, flat to 5 degree, slope, two track, driveway, sage, in a, ', ' safety, extreme fire, zone, removing this, material, front, watch out, attempting frontal, unburned, fuel, change, constructed their own, card, many, errors, letting","black, zone, front, behavior, foamed, un, spot, fire, escape, ia, errors, watch, values, incorrect, fire danger, fires, erc, ina, documents, been, neglected, underest, conditions, low, false sense of fire, potential, radio communications in the, were often, poor, delaying, delayed, response, phoenix, on, or, systemic, chronic, problems, inaccurate nfdrs indices, output,","type, were, fires, safety, issues, hampered, ability to, staff, in, of fire, operations, accident, humidity, cover, values, fire, reaching the weekend, message, for the, office, after, , cannot connect","structure protection group supervisor approached the, direct, into and around a, structure, triage and, protection, safety, directions, attempted, group, preparation, taken, zone, the, stood outside his, vehicle, always constructed their own pocket, cards, version of our pocket, card, ii team transition, them with our pocket, went to the, dispatch web","all, small diameter trees must be, removed, knowledge of fire, behavior, assault, orders, initiate all, actions, based on current & expected fire, in potentially hazardous, situations, provide, fuel, model, is, representative, keep informed on fire weather, conditions, forecasts, base all actions on current and expected, consider, the current and expected,",3,2,6,25598.0
Inadequate Training or Certification,"rain, flat gravel access, road, puddle, loose surface, rock, light, breeze, weighted, gravel, pack, padded shoulder, straps, minimally, gravel filled, bags, weight, central, low in the, stiff style hiking, boots, ankle, support, methodology of work capacity, test, cr, ', dropped, cooled, down, warm, up, impending, start of, individual had, stretched","overcast, peculiar and, moderately painful cramping, action, pain, pain to, di, cramping, and, rain, short, calf, heel and outer, iced leg, loosening, lack of, cold, back, seriously herniated l, disk, injury, duty, to be, to, , intense, runs, fire, run, a, chu, out the, crew was in a position of,","ham, foot, at, home, went to, work, up, increasingly, worse, extreme, pain in left, leg, mobility, sweats, nausea, numb, is, to get, hurt, someone is going to get, , left, compromise the safety and, health, threatening, fire was, inactive, not under, burned, ups, the, individual in an, extremely, dangerous, situation,","test course was laid out, test, setup, to, administer, used their pack of, choice, massaged, pain, adjusted body, posture, crouching, transferring weight to, thighs, straightening, back, relax, cr, pack, testing, loaded up in, left finish, pre - test, stretching, was done, plenty of fluids were, consumed, walking, stay, ice, qualified,","address spinal, posture, suggesting types of packs or pack, configurations, emphasis on back, safety, stopping when experiencing, can be quite, subjective, adequate warm, up, and cool down, time, send, hired, actions ', provide'correct, action, party's, at the, had some, discussion, more, maintain control, drops, get, firefighters, get aboard the, ship,",4,4,16,30321.0
Insect Stings,"without, epi -, kits, were, sensitive to, did not have epi -, three crewmembers were kept in, camp, not allowed on the, unstable and, extremely dry, atmosphere, afternoon, relative humidity, readings, increase, strong, shifting, winds, creating, about, dying, with, t, backing, into birch, creek, crossed the, road, our egress was","bee, stings, diabet, plume - dominated, conditions, strong, downdraft, winds, burn, out, burn out, fire, wind, switch, had to, slow, unfavorable, were, swarmed by, bees, vector, creek, run, fire crested the, ridge, through, unfa, time to complete, to make a, insect ) bit her, allergic, reaction, sting, by, blowing, other,","return, home, firing, up, no, injuries to, fresh, air, behind the flaming, front, operations, were, held up, holding, take the, to the, hospital, stung, times, bees, off, stung multi, 2nd, uncomfortable, became, intimidated, walked, entire strike, confusion, ,, stress, extremely, poor, morale","safety, officer, epi -, safety officer conferred with the incident commander ( ic, crew representative, contacted, home, unit, obtained prescriptions, local, doctor, purchase, read through all, pd, were, briefed by the ict, division, listened to the, their safety, zones, good, depth, tied in, air, laying, retardant with, handed off the","staging for initial, attack, kits, -, be, home, crown, fires, and, long - range spotting up, mile, prepared to die, to be prepared to die, up, kidding, ' s, not, interfere, plan, transition, gain, situation, awareness, zone, operate on the side of, cautious, good understanding of the local, weather, modified",4,2,8,24201.0
Insufficient Breaks,"very, rocky, slash, fuels, retardant, drops, road, conditions, single track, heavy, fuel, few, turn around, areas, not, engine operation single track, access, few turn around, to turn around, communications between, forces, marginal, less than adequately, informed, watch out, no one was given the chance to, sleep, terrain was, steep, road","fire, behavior, erratic, torch, excessive, spotting, trees, uneven, slippery, footing, blow up, access, not, violated, isolated, water, tender, main (, ) rotor was, issues, gray, sleeping, hard, driving, in, :, dangerous, slept, of the, way, type, lightning caused, fires, extreme, fatigue, depression, symptoms, mental, impairment, perform, worse, situations, feeling of,","spots, ignition, been, compromised, 65, lives, serious, jeopardy, helicopter was, damaged by a, yellow, struck, visual, damaged, accident, passengers were, extremely, sleepy, us, killed, 1979 ford rescue, engine, 130, fire fighter safety, risk, unacceptable, damage, rebu, no longer needed, abandoned, to run for, safety, on, road, money, resources were pulled,","spotting, rest, fire, behavior, torch, mechanic and the agency inspector were, notified, discussed the pay, issues, water tenders were, requested, by the deck, coordinator, dust, certified mechanic, report, inspect the, the maintenance, water tender was, staged, for, clarification, investigation was, started, the proper contacts were, made, hotel, rooms, the required,","work rest, guidelines, logistical, supportress, have been, bumped up to a type ii, incident, the correct, place, in non - pay status /, unavailability, paid, ferry, time, to the, appropriate, personnel, to, pay the availability, rate, a qualified mechanic on, site, complete, log, incoming, overhead stay in the, armory, don,",3,2,6,24360.0
Insufficient PPE,"p, not, member of, management put, firefighters, in a, risky, into, did not give us a, briefing, did he have a look out, posted, violation, was, not properly, dressed, not have nomex, pants, leather, gloves, fire, shelter, tool, grass, unable, engagement, old, by, short range, spotting, e, no, was not","position, fire, call, was, received, to locate individual, was to order, fire pushed, winds, trees, torch, hose, burned, crew, divided, by, fire module did not, engage, road, pushed, questioned, radio, watch out, violated, ic, ignored, access to the, they could not handle the, lost contact with the, with, the, lightening,","gust, flames, feet, narrowly, escaped, no, injuries, fire, acre, inaccessible, was, without, ignited the flare, fuse, ,, not positively, his, pocket, completely in, 2nd and 3rd degree, burns, on, hard to access the, fires, in, inexperienced, stress, not, for, burnouts, performed, seated, a, chair, lost time, exposed to, injury, heat,","them how quickly they could remove the, shelter, the shelter in a pouch, the yellow belt, pouch, dig line and tie, fire, hard hat, nomex, boots, ic, called, member of management arrives, to brief, pp, individual, proceded to head of fire, talk with ic, squad, drove, cutting fuel, break, digging","shelter, not to, wear our fire, remove, timely, step, ordered not to, engage, of management, order, given, another, be ready to, take a deep, breath, and, arrives back on, scene, additional member of, management, be, border the urban, interface, with, gloves, n, flares, to open top to remove fuse, fuses,",3,2,6,25328.0
Poison Oak,"engine crew, they were, performing structure, protection, how it was, managed, not offering a lot of, treatment, very minimal, quantities, that were not, adequate, tecnu extreme poison ivy, scrub, using, intensified, oak, the medical, unit, rash,, swelling and, b, the proper, from the, over the counter, soap, past treatability with,","into, situation, poison, oak, rash, the, reaction, infection to, came in contact with, refused, ca, came into contact with poison, crew came into contact with a, of, rash b, refused any, beyond treat, firefighter exposed to, severe case of, possible, cyanide, exposure, of a, headache, stomach, problems, heat, exhaustion, worsened,","persons on the, breaking out, a, set, in, leave, duty, being out of, service, engine, for off - unit, assignments, get a, and, swelling, was, treatment, from, sleeping, at, night, condition, worsened, file, - 1, rash and, to, loss of, sleep, forced to file a ca, 1, ste, came, over,","extreme poison ivy, proper treatment, the, was immediately prescribed a, prednisone pill, pack, steroid, shot, swelling, times, individuals, showered, used tecnu and switched, clothes, filed a ca - 1 to, proper, treatment, med, tried to demob the, ic, them go to a, doctor, shot of cortizone, prednizone, go to, ak,","scrub, , pill, treatment, go back to, come, suck it, up, to, watch, member, wake, keep monitoring, not to commit crew into suppression, efforts, monitor for, spots, tie, officer, inform, send, meet, error, the, find, chief, leadership, out, human element is present at all, times, be taken to the hospital,",3,2,6,25157.0
Reckless Driving,"slope, very, gentle, entire flatbed structure had, forward, chucks, punctured 2 small, holes, bent, -, bolts, plastic, out, position, u - bolts that attached the flatbed structure to the, frame, were, inadequate to hold, weight, configuration, “, poor, material, u, hot, moderate wind, speed, fire, behavior, intense, heat, high, flames,","loud ', bang ', shifted, bed had slid 6 inches, and displaced u, spacers, the, and, bushings had slid out of, position, bolts were, missing, run, start, burn, in, wind, flare up to reverse, direction, fire, been, of, yelled, to run, north, in wind direction jumped, line, had to, run","incident, devastating, high, risk, to fire, safety, catastrophic, injury, loss of, life, implications to civilian, burned out, jumped the, line, out, control, fire, burn, the, stopped, without, stopping, were, almost, hit, 3, vehicles, su, pulled out, the bus, mph, and was going to, stop, rough, divert, from, nearly, hitting the,","phoned the engine's, captain, boss contacted the ic, safety, fm, management, stopped to take a pit, stop, pulled, at the stop, sign, lights, superintendent, got on the radio, the, the supt., go, te, hai, lces were, practiced, lookout and communication, ahold, lug, engine, boss, seat belt, fastened, safe use of,","get the engine, a, shop, seek a recovery / field service, advise, pass, advise fire, staff, tried, test, burn, stop at, stop, sign, wait for, slowing, turned, good roads, unsafe driving, practices, stick together and, ignore stop, signs, /, lights, posted speed limit 20 - 25, mph, them to, make",3,2,6,25143.0
