,Agency,Unit,Region,Location,Date,Local Time,Date Submitted,Tracking #,Mission Type,Procurement Type,Persons Onboard,Departure Point,Destination,Special Use,Damages,Injuries,Hazardous Materials,Other Procurement Type,Other Mission Type,Type,Manufacturer,Model,Narrative,Corrective Action,Hazard,Incident,Management,UAS,Accident,Airspace,Maintenance,Mishap Prevention,Extractive Summarized Narrative,Extractive Summarized Corrective Action,Abstractive Summarized Narrative,Abstractive Summarized Corrective Action,Text
44,Forest Service (USFS),,Region 03 Southwest Region,Bonita Fire {Division C},6/23/2017,4:20 PM,,17-0414,"Fire, Other",,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,Drone spotted on Division C by engine crew during suppression activities. 2 Air Attacks and 3 helicopters were working fire at the time. Air Attack was notified and Helicopters were returned to Helibase at Taos Airport. Drone was a white quad copter approximately 2 feet across. New Mexico State police were notified of the situation and are investigating. Location of incident was 36* 33.225`` X 106* 6.657``,Air Attack remained over fire to evaluate situation. Operator was not located. After approximately 1 hour of no additional sightings helicopters were returned to service.,,,,,,"Intrusion, UAS",,,Drone spotted on Division C by engine crew during suppression activities. Air Attack was notified and Helicopters were returned to Helibase at Taos Airport. Drone was a white quad copter approximately 2 feet across.,Air Attack remained over fire to evaluate situation.,<pad> 2 Air Attacks and 3 helicopters were working fire at the time. a white quad copter approximately 2 feet across was spotted on Division C. police are investigating.</s>,<pad> after approximately 1 hour of no additional sightings helicopters returned to service. after approximately 1 hour of no additional sightings helicopters were returned to service. after approximately 1 hour of no additional sightings helicopters were returned to service.</s>,Drone spotted on Division C by engine crew during suppression activities. 2 Air Attacks and 3 helicopters were working fire at the time. Air Attack was notified and Helicopters were returned to Helibase at Taos Airport. Drone was a white quad copter approximately 2 feet across. New Mexico State police were notified of the situation and are investigating. Location of incident was 36* 33.225`` X 106* 6.657`` Air Attack remained over fire to evaluate situation. Operator was not located. After approximately 1 hour of no additional sightings helicopters were returned to service.
45,Forest Service (USFS),Coconino NF,Region 03 Southwest Region,Boundary fire,6/25/2017,10:30 AM,,17-0424,"Fire, Air Attack",Exclusive use contract,2.0,Flagstaff,Boundary fire,No,No,No,No,,,Airplane,Aero Commander,AC690,"While providing aerial supervision on the XXXX Fire, we had a drone incursion that passed within 200ft of the plane.  We shut down all flight operations and returned to YYYY.","We ceased all aviation operations and returned to Flagstaff. Helibase, AOBD, operations, dispatch, and the IC were notified immediately.",,,,UAS,,"Near Mid-Air, Conflict",,,"While providing aerial supervision on the XXXX Fire, we had a drone incursion that passed within 200ft of the plane. We shut down all flight operations and returned to YYYY.",We ceased all aviation operations and returned to Flagstaff.,<pad> we had a drone incursion that passed within 200ft of the plane. we shut down all flight operations and returned to YYYY. yyyyy: i was providing aerial supervision on the XXX fire.</s>,"<pad> Helibase, AOBD, operations, dispatch, and the IC were notified immediately. AOBD, operations, dispatch, and the IC were notified immediately.</s>","While providing aerial supervision on the XXXX Fire, we had a drone incursion that passed within 200ft of the plane.  We shut down all flight operations and returned to YYYY. We ceased all aviation operations and returned to Flagstaff. Helibase, AOBD, operations, dispatch, and the IC were notified immediately."
46,Bureau of Land Management (BLM),San Juan Public Land Center (Durango),Colorado State Office,Lightner Creek Fire,7/1/2017,9:00 AM,,17-0454,"Fire, Air Attack",,2.0,DRO,Lightner Creek Fire,No,No,No,No,,,,,,"UAS/Drone intrusion on the Lightner Creek Fire on 7/1/17. TFR in place. ATGS was over the Lightner Creek fire prior to helicopter missions starting for day. Ground resources {DIV Zulu} reported to the ATGS that a local law enforcement officer with Durango Police Department had seen a UAS/Drone flying from the vicinity of the Lightner Creek road toward the fire at approximately 0900 hrs. No other incident aircraft over fire at the time. High point on fire is 8300 feet and Air Attack was working at 9500 feet. With report of UAS intrusion ATGS had pilot climb to 10500 feet and notifications were made to Dispatch, Helibase, AOBD/ASGS and local FAO. All planned helicopter missions over fire were held at helibase until situation resolved. All divisions contacted and requested to monitor area. No other sightings from incident personnel. ASGS contacted the local Deputy of the LaPlata County Sheriffs office, operator not found and no other sightings. As of 1000 hrs, ATGS, AOBD and OSC2 determined that it was safe to resume operations for day.",Unable to locate UAS or operator. No further sightings. Ongoing law enforcement investigation with LPCSO. UAS protocol followed and intrusion form will be submitted.,,,External,UAS,,"Intrusion, Conflict, UAS",,,"UAS/Drone intrusion on the Lightner Creek Fire on 7/1/17. With report of UAS intrusion ATGS had pilot climb to 10500 feet and notifications were made to Dispatch, Helibase, AOBD/ASGS and local FAO. No other sightings from incident personnel.",Ongoing law enforcement investigation with LPCSO.,<pad> a local law enforcement officer saw a UAS/Drone flying toward the lightner creek fire. no other incident aircraft over fire at the time. all planned helicopter missions over fire held at helibase until situation resolved.</s>,<pad> unable to locate UAS or operator. No further sightings. ongoing law enforcement investigation with LPCSO. UAS protocol followed and intrusion form will be submitted.</s>,"UAS/Drone intrusion on the Lightner Creek Fire on 7/1/17. TFR in place. ATGS was over the Lightner Creek fire prior to helicopter missions starting for day. Ground resources {DIV Zulu} reported to the ATGS that a local law enforcement officer with Durango Police Department had seen a UAS/Drone flying from the vicinity of the Lightner Creek road toward the fire at approximately 0900 hrs. No other incident aircraft over fire at the time. High point on fire is 8300 feet and Air Attack was working at 9500 feet. With report of UAS intrusion ATGS had pilot climb to 10500 feet and notifications were made to Dispatch, Helibase, AOBD/ASGS and local FAO. All planned helicopter missions over fire were held at helibase until situation resolved. All divisions contacted and requested to monitor area. No other sightings from incident personnel. ASGS contacted the local Deputy of the LaPlata County Sheriffs office, operator not found and no other sightings. As of 1000 hrs, ATGS, AOBD and OSC2 determined that it was safe to resume operations for day. Unable to locate UAS or operator. No further sightings. Ongoing law enforcement investigation with LPCSO. UAS protocol followed and intrusion form will be submitted."
47,Bureau of Land Management (BLM),Spokane District,Oregon/Washington State Office,46 31.77/119 39.31,7/4/2017,10:45 AM,,17-0471,"Fire, Air Attack",CWN (Call when needed),2.0,EAT,Silver Dollar Fire,No,No,No,No,,,Airplane,Cessna,337,"7/4  1045 while flying ATGS over incident, I observed a small white object flying over the black, 50-100 ft. agl, on the southeast corner of the fire. I pointed it out to the pilot and we watched it for several minutes trying to determine the nature of the object. Based on the plastic nature of the color {white was consistently shiny}, and the flight profile {hover and erratic} movement we determined it was most likely a drone. I then began reporting the incursion and pilot moved us out of the area, to the west flank to begin notification and shut-down helicopter operations. We had been approx. 3000-3500 ft. agl, and do not believe we were in danger. We made a cursory visual search for an operator but did not see one.","operations were not at a critical point in aviation terms, 2 helicopters were over the fire. h-9bh was transiting south of the fire to a helispot on the sw corner {10+ miles from incursion}, i directed h-9bh to land at helispot and hold. h346 was working in div a nw corner of fire {10+miles}, and i also directed them to land and hold {airport north of fire}.  i also began notifying process {ic, dx, and faa}, incident personnel notified law enforcement.  after notifications were made, we landed at ykm {12 miles west of incident}, so that i could use my phone to review and determine a re-engagement criteria.  upon consultation with ic, dx and regional atgs coordinator, i proposed re-engagement of aviation resources on the west side of the fire based on the separation from the sighting {10+miles}.  and if the pilots felt comfortable and ensured that they examined the airspace they would be working prior to entry, they would be able to operate around east the fire after 1300 at their discretion.this proposal was discussed and agreed upon with the pilots and managers of the aircraft by cell phone.probably didn````t need to shut-down helicopter operations after discussing incident with others based on the separation, but i felt that the conservative call was appropriate based on my inexperience with uas incursions.",,Precautionary Landing,,UAS,,"Conflict, UAS",,Kudos,"7/4  1045 while flying ATGS over incident, I observed a small white object flying over the black, 50-100 ft. agl, on the southeast corner of the fire. Based on the plastic nature of the color {white was consistently shiny}, and the flight profile {hover and erratic} movement we determined it was most likely a drone.","operations were not at a critical point in aviation terms, 2 helicopters were over the fire.","<pad> a small white object was flying over the black, 50-100 ft. agl, on the southeast corner of the fire. a cursory visual search for an operator was unsuccessful.</s>",<pad> two helicopters were over the fire at the time of the incident. pilots were not at a critical point in aviation terms. he proposed re-engagement of aviation resources on west side of the fire.</s>,"7/4  1045 while flying ATGS over incident, I observed a small white object flying over the black, 50-100 ft. agl, on the southeast corner of the fire. I pointed it out to the pilot and we watched it for several minutes trying to determine the nature of the object. Based on the plastic nature of the color {white was consistently shiny}, and the flight profile {hover and erratic} movement we determined it was most likely a drone. I then began reporting the incursion and pilot moved us out of the area, to the west flank to begin notification and shut-down helicopter operations. We had been approx. 3000-3500 ft. agl, and do not believe we were in danger. We made a cursory visual search for an operator but did not see one. operations were not at a critical point in aviation terms, 2 helicopters were over the fire. h-9bh was transiting south of the fire to a helispot on the sw corner {10+ miles from incursion}, i directed h-9bh to land at helispot and hold. h346 was working in div a nw corner of fire {10+miles}, and i also directed them to land and hold {airport north of fire}.  i also began notifying process {ic, dx, and faa}, incident personnel notified law enforcement.  after notifications were made, we landed at ykm {12 miles west of incident}, so that i could use my phone to review and determine a re-engagement criteria.  upon consultation with ic, dx and regional atgs coordinator, i proposed re-engagement of aviation resources on the west side of the fire based on the separation from the sighting {10+miles}.  and if the pilots felt comfortable and ensured that they examined the airspace they would be working prior to entry, they would be able to operate around east the fire after 1300 at their discretion.this proposal was discussed and agreed upon with the pilots and managers of the aircraft by cell phone.probably didn````t need to shut-down helicopter operations after discussing incident with others based on the separation, but i felt that the conservative call was appropriate based on my inexperience with uas incursions."
48,Forest Service (USFS),Medicine Bow NF,Region 02 Rocky Mountain Region,Keystone Fire,7/3/2017,6:00 PM,,17-0477,"Fire, Initial Attack",None,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"On July 03, 2017 on the Keystone Fire {WY-MBF-17118}, during evacuation notification of the Lake Creek Resort area on the Laramie District of the Medicine Bow/ Routt NF and Thunder Basin NG, Forest Service LEO witnessed a person flying a drone aircraft. FS LEO notified that person that they needed to land the aircraft immediately. At the time of the incident there was one type 3 helicopter, and air tankers. Drone incident was located about 4 mile south of the fire. There was no TFR in place at the time of the drone incident and the UAS did not impact any air operations.","Action taken was that FS LEO made contact with individual and had them land the drone aircraft and leave the area.  To the best of my knowledge no individual was not cited.  Incident commander notified ATGS, and on July 5th notified District Ranger, Forest Supervisor, Forest Assistant Fire Management Officer, and Zone Fire Management Officer and Assistant Zone Fire Management Officer, Forest Supervisor notified Forest Fire Management Officer.  Forest Public Affairs Officer was going to mention incident in the next fire update.",,,,UAS,,Intrusion,,,"On July 03, 2017 on the Keystone Fire {WY-MBF-17118}, during evacuation notification of the Lake Creek Resort area on the Laramie District of the Medicine Bow/ Routt NF and Thunder Basin NG, Forest Service LEO witnessed a person flying a drone aircraft. FS LEO notified that person that they needed to land the aircraft immediately. At the time of the incident there was one type 3 helicopter, and air tankers.",Action taken was that FS LEO made contact with individual and had them land the drone aircraft and leave the area.,<pad> a drone incident occurred on the keystone fire. the incident occurred about 4 miles south of the fire. there was no TFR in place at the time of the incident and the drone did not impact air operations.</s>,"<pad> incident commander notified ATGS, and on July 5th notified District Ranger, Forest Supervisor, Forest Assistant Fire Management Officer, and Zone Fire Management Officer and Assistant Zone Fire Management Officer.</s>","On July 03, 2017 on the Keystone Fire {WY-MBF-17118}, during evacuation notification of the Lake Creek Resort area on the Laramie District of the Medicine Bow/ Routt NF and Thunder Basin NG, Forest Service LEO witnessed a person flying a drone aircraft. FS LEO notified that person that they needed to land the aircraft immediately. At the time of the incident there was one type 3 helicopter, and air tankers. Drone incident was located about 4 mile south of the fire. There was no TFR in place at the time of the drone incident and the UAS did not impact any air operations. Action taken was that FS LEO made contact with individual and had them land the drone aircraft and leave the area.  To the best of my knowledge no individual was not cited.  Incident commander notified ATGS, and on July 5th notified District Ranger, Forest Supervisor, Forest Assistant Fire Management Officer, and Zone Fire Management Officer and Assistant Zone Fire Management Officer, Forest Supervisor notified Forest Fire Management Officer.  Forest Public Affairs Officer was going to mention incident in the next fire update."
49,Bureau of Land Management (BLM),Winnemucca Field Office,Nevada State Office,"Lovelock, NV",7/4/2017,11:25 AM,,17-0483,"Fire, Helitack",CWN (Call when needed),,KEKO,Limerick Fire,Yes,No,No,No,,,Helicopter,Airbus,AS 350B3E,During ongoing Fire Operations on the Limerick Fire local law enforcement spotted an individual remove a drone from their personal belongings and begin to operate the drone 1/4 to 1/2 mile East of I-80 in the vicinity of the Fire. Law Enforcement approached individual and made them aware of the dangers/violations of flying a drone near Fire operations and had them ground the drone and vacate area.,Law Enforcement informed individual of the dangers/violations of flying a drone in Fire Operation Area.  Law Enforcement had the drone operator put the drone away and vacate area.  LE recorded individual`s personal information and FAA drone license information.,Other,,,UAS,,Intrusion,,,During ongoing Fire Operations on the Limerick Fire local law enforcement spotted an individual remove a drone from their personal belongings and begin to operate the drone 1/4 to 1/2 mile East of I-80 in the vicinity of the Fire. Law Enforcement approached individual and made them aware of the dangers/violations of flying a drone near Fire operations and had them ground the drone and vacate area.,Law Enforcement informed individual of the dangers/violations of flying a drone in Fire Operation Area.,<pad> local law enforcement spotted an individual remove a drone from their personal belongings and begin to operate the drone 1/4 to 1/2 mile East of I-80 in the vicinity of the Limerick Fire. they had them ground the drone and vacate area.</s>,<pad> LE recorded individual's personal information and FAA drone license information. the drone operator put the drone away and vacate area. LE recorded individual's personal information and FAA drone license information.</s>,During ongoing Fire Operations on the Limerick Fire local law enforcement spotted an individual remove a drone from their personal belongings and begin to operate the drone 1/4 to 1/2 mile East of I-80 in the vicinity of the Fire. Law Enforcement approached individual and made them aware of the dangers/violations of flying a drone near Fire operations and had them ground the drone and vacate area. Law Enforcement informed individual of the dangers/violations of flying a drone in Fire Operation Area.  Law Enforcement had the drone operator put the drone away and vacate area.  LE recorded individual`s personal information and FAA drone license information.
50,Bureau of Land Management (BLM),Boise District Office,Idaho State Office,"Mountain Home, ID  U76",7/12/2017,7:30 PM,,17-0552,"Fire, Air Attack",CWN (Call when needed),1.0,U76,U76,No,No,No,No,,,Airtanker (SEAT),Air Tractor,AT-802A,Two SEATs were returning back to Mountain Home base after making a drop on the fire.  I was positioned on the General Aviation ramp to park the aircraft when the driver/loader for one of the aircraft informed me that an Unmanned Aircraft System {UAS} was flying within the perimeter of the airfield.  I observed the UAS and immediately contacted the pilots to ensure they were aware. I continued to maintain watch of the UAS and its position in relation to the SEATs until both were safely on the ground. It should be noted that an approved UAS airfield is located approximately 3 miles East of Mountain Home airport.,"The SEAT base manager contacted the UAM and informed him of this action.  The airport manager notified the Public Works Director, Point of contact for the RCA airfield, and the local police who were going to respond to the area.",,,,UAS,,Conflict,,,Two SEATs were returning back to Mountain Home base after making a drop on the fire. I was positioned on the General Aviation ramp to park the aircraft when the driver/loader for one of the aircraft informed me that an Unmanned Aircraft System {UAS} was flying within the perimeter of the airfield. It should be noted that an approved UAS airfield is located approximately 3 miles East of Mountain Home airport.,The SEAT base manager contacted the UAM and informed him of this action.,<pad> two SEATs were returning back to mountain home base after making a drop on the fire. a driver/loader informed me that an unmanned aircraft system <unk> UAS<unk> was flying within the perimeter of the airfield. i continued to maintain watch of the UAS and its position in relation to the SEATs until both were safely on the ground.</s>,"<pad> the airport manager contacted the UAM and informed him of this action. the airport manager notified the public works director, point of contact for the RCA airfield. local police were going to respond to the area.</s>","Two SEATs were returning back to Mountain Home base after making a drop on the fire.  I was positioned on the General Aviation ramp to park the aircraft when the driver/loader for one of the aircraft informed me that an Unmanned Aircraft System {UAS} was flying within the perimeter of the airfield.  I observed the UAS and immediately contacted the pilots to ensure they were aware. I continued to maintain watch of the UAS and its position in relation to the SEATs until both were safely on the ground. It should be noted that an approved UAS airfield is located approximately 3 miles East of Mountain Home airport. The SEAT base manager contacted the UAM and informed him of this action.  The airport manager notified the Public Works Director, Point of contact for the RCA airfield, and the local police who were going to respond to the area."
51,State,,Utah,37 40.648 112 40.237,7/14/2017,6:20 PM,,17-0569,"Fire, Other",Other/Unknown,,DP-48,Incident / DP-48,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"On the Brianhead Incident near DP-48 a UAS was spotted by the Division Papa Safety Officer. The Division Supervisor was notified and responded to DP-48. Division Papa notified Brianhead Operations Section Chief, who notified the Air Operations Branch Director. The AOBD notified Brianhead helibase and informed them of the intrusion and confirmed that no incident air operations were currently underway. Once the Division reached DP-48 he made contact with the Drone operator. The operator was very cooperative and returned the drone back to DP-48. Division Papa was able to get the operators information and the operator left the area. Brianhead AOBD notified Color Country Interagency Fire Center and informed them of the intrusion. In addition, the AOBD notified the SLC Air Traffic Control Center.",,,,External,,,"Intrusion, UAS",,,On the Brianhead Incident near DP-48 a UAS was spotted by the Division Papa Safety Officer. The AOBD notified Brianhead helibase and informed them of the intrusion and confirmed that no incident air operations were currently underway. Once the Division reached DP-48 he made contact with the Drone operator.,,<pad> on the Brianhead Incident near DP-48 a UAS was spotted by the Division Papa Safety Officer. the Division supervisor was notified and responded to DP-48. the AOBD confirmed that no incident air operations were currently underway.</s>,,"On the Brianhead Incident near DP-48 a UAS was spotted by the Division Papa Safety Officer. The Division Supervisor was notified and responded to DP-48. Division Papa notified Brianhead Operations Section Chief, who notified the Air Operations Branch Director. The AOBD notified Brianhead helibase and informed them of the intrusion and confirmed that no incident air operations were currently underway. Once the Division reached DP-48 he made contact with the Drone operator. The operator was very cooperative and returned the drone back to DP-48. Division Papa was able to get the operators information and the operator left the area. Brianhead AOBD notified Color Country Interagency Fire Center and informed them of the intrusion. In addition, the AOBD notified the SLC Air Traffic Control Center. nan"
52,Forest Service (USFS),Los Padres NF,Region 05 Pacific Southwest Region,Old San Marcos Rd. Off HWY 154,7/14/2017,7:00 PM,,17-0571,"Fire, Retardant",Other/Unknown,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),Unknown,unknown,"At 1900 hours, the Whittier Fire was making an impressive downhill run off of West Camino Cielo. I was down highway 154 and turned on Old San Marcos Road. Approximately half way down Old San Marcos, I ran into an individual who was operating a UAS and filming the fire.","I pulled over an asked the individual to cease operations. He was reluctant at first because he thought he was far enough away that he was no factor for the fire. The operator complied and landed the UAS. I informed him that he was in the middle of the TFR. The individual asked what that meant. I also informed him that there was a mobile retardant plant set up at the bottom of highway 154 and Fire helicopters had been flying over the very spot where he was operating. I explained what the TFR is and told him how much of an impact operating a UAS can have for aviation, fire fighters, and the whole operation. A good conversation was had, and the operator was thankful for the information. I contacted the IMT AOBD and ASGS, and suggested placing ``If you fly, we can`t`` posters along Old San Marcos Highway and Highway 154`` to help get the word out to the public. When I drove by this morning the IMT had the posters in place.",,,,,,UAS,,,"At 1900 hours, the Whittier Fire was making an impressive downhill run off of West Camino Cielo. I was down highway 154 and turned on Old San Marcos Road. Approximately half way down Old San Marcos, I ran into an individual who was operating a UAS and filming the fire.",I pulled over an asked the individual to cease operations.,"<pad> at 1900 hours, the Whittier Fire was making an impressive downhill run off of west camino Cielo. Approximately half way down Old San Marcos, i ran into an individual who was operating a UAS.</s>","<pad> a firefighter was reluctant to cease operations when he landed a UAS. a mobile retardant plant was set up at the bottom of highway 154. the operator was thankful for the information. the IMT AOBD and ASGS suggested putting <unk> If you fly, we can<unk> t<unk> posters.</s>","At 1900 hours, the Whittier Fire was making an impressive downhill run off of West Camino Cielo. I was down highway 154 and turned on Old San Marcos Road. Approximately half way down Old San Marcos, I ran into an individual who was operating a UAS and filming the fire. I pulled over an asked the individual to cease operations. He was reluctant at first because he thought he was far enough away that he was no factor for the fire. The operator complied and landed the UAS. I informed him that he was in the middle of the TFR. The individual asked what that meant. I also informed him that there was a mobile retardant plant set up at the bottom of highway 154 and Fire helicopters had been flying over the very spot where he was operating. I explained what the TFR is and told him how much of an impact operating a UAS can have for aviation, fire fighters, and the whole operation. A good conversation was had, and the operator was thankful for the information. I contacted the IMT AOBD and ASGS, and suggested placing ``If you fly, we can`t`` posters along Old San Marcos Highway and Highway 154`` to help get the word out to the public. When I drove by this morning the IMT had the posters in place."
53,State,,Washington,Spokane,7/22/2017,11:30 AM,,17-0628,"Fire, Helitack",Cooperator,4.0,Station 45,Fire 1501,Yes,No,No,Yes,,,Helicopter,Bell,UH1H,"Fire was County/Rural with State Agency, in the rural hills just south of Spokane. Helicopter was arriving and local Chief on scene advised a drone was spotted. Helicopter shut down near the fire while crew put bucket on and got ready to dig line. Air Attack was ordered with 2 Fire Bosses. After 20 minutes nobody on the fire had seen the drone any longer. The helicopter fired up and engaged, as Air Attack arrived and confirmed it had been a while since the drone was last seen. A TFR was ordered as well when Air Attack was ordered. Operations continued for several hours with no further issues.",Waited until comfortable drone was gone.,,,Internal,UAS,,"Conflict, UAS",,,"Fire was County/Rural with State Agency, in the rural hills just south of Spokane. Air Attack was ordered with 2 Fire Bosses. The helicopter fired up and engaged, as Air Attack arrived and confirmed it had been a while since the drone was last seen.",,<pad> a drone was spotted near a fire in the rural hills south of Spokane. a helicopter shut down while crew put bucket on and got ready to dig line. no one on the fire had seen the drone for a while.</s>,<pad> Waited until comfortable drone was gone. Waited until comfortable drone was gone. Waited until comfortable drone was gone. Waited until comfortable drone was gone. Waited until comfortable drone was gone.</s>,"Fire was County/Rural with State Agency, in the rural hills just south of Spokane. Helicopter was arriving and local Chief on scene advised a drone was spotted. Helicopter shut down near the fire while crew put bucket on and got ready to dig line. Air Attack was ordered with 2 Fire Bosses. After 20 minutes nobody on the fire had seen the drone any longer. The helicopter fired up and engaged, as Air Attack arrived and confirmed it had been a while since the drone was last seen. A TFR was ordered as well when Air Attack was ordered. Operations continued for several hours with no further issues. Waited until comfortable drone was gone."
54,Forest Service (USFS),Rogue River-Siskiyou NF,Region 06 Pacific Northwest Region,Miller Complex,8/19/2017,4:00 PM,,17-0812,"Fire, Water Drop (Helicopter Fixed-Tank)",,,Cave Junction/Medfor,Miller Coplex,No,No,No,No,,,Unmanned Aircraft System (UAS),,,Air Attack and 2 type 1 helicopters were flying over multiple fires on the  Complex. The 2 type 1 helicopters were dropping water when a drone was reported in the Dam area. A Local USFS Law Enforcement Officer and 2 Forest Protection Officers were dispatched to the area. All aircraft were sent back to their respective bases/Helibases. Upon arrival the LEO made contact with 2 non-mechanical gliders. The Aircraft were then dispatched back to the fire.,All aircraft were grounded till the situation was identified and resolved.  The Public Information Officers put out a news release.  The team Liaison spoke with the local glider club to resolve future issues.,,,,,,UAS,,,Air Attack and 2 type 1 helicopters were flying over multiple fires on the  Complex. A Local USFS Law Enforcement Officer and 2 Forest Protection Officers were dispatched to the area. The Aircraft were then dispatched back to the fire.,All aircraft were grounded till the situation was identified and resolved.,<pad> 2 type 1 helicopters were dropping water when a drone was reported. a local USFS law enforcement officer and 2 forest protection officers were dispatched. all aircraft were sent back to their respective bases/Helibases.</s>,<pad> all aircraft were grounded till the situation was identified and resolved. the team Liaison spoke with the local glider club to resolve future issues. all aircraft were grounded till the situation was identified and resolved.</s>,Air Attack and 2 type 1 helicopters were flying over multiple fires on the  Complex. The 2 type 1 helicopters were dropping water when a drone was reported in the Dam area. A Local USFS Law Enforcement Officer and 2 Forest Protection Officers were dispatched to the area. All aircraft were sent back to their respective bases/Helibases. Upon arrival the LEO made contact with 2 non-mechanical gliders. The Aircraft were then dispatched back to the fire. All aircraft were grounded till the situation was identified and resolved.  The Public Information Officers put out a news release.  The team Liaison spoke with the local glider club to resolve future issues.
55,Forest Service (USFS),Six Rivers NF,Region 05 Pacific Southwest Region,,8/25/2017,,,17-0835,"Fire, Reconnaissance",,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"Operation on the Six Rivers National Forest, Young Fire began on 8/18 with the DOI agency FireFly VTOL UAS. The 8/25 afternoon IR reconnaissance flight landing concluded with a propeller strike. The approach was set in guided mode with an automated RTL landing. Within approximately 5 meters from the takeoff location a side gust of wind pushed the UAS off target completing the landing 12 feet from center point where the ground was struck breaking the tips of two of the six propellers. No other damage occurred to the UAS.",Corrective action was to relocate the takeoff and landing area to a larger opening.  The propeller strike location was selected based on line of site for the radio link.  Operations were moved to a larger area clear of all obstacles giving a larger buffer for any adverse winds on final.,,Aircraft Damage,,UAS,,,,,"Operation on the Six Rivers National Forest, Young Fire began on 8/18 with the DOI agency FireFly VTOL UAS. The 8/25 afternoon IR reconnaissance flight landing concluded with a propeller strike. The approach was set in guided mode with an automated RTL landing.",Corrective action was to relocate the takeoff and landing area to a larger opening.,<pad> the 8/25 afternoon IR reconnaissance flight landing concluded with a propeller strike. the ground was struck breaking the tips of two of the six propellers. no other damage occurred to the UAS.</s>,<pad> the propeller strike location was selected based on line of site for the radio link. operations were moved to a larger area clear of all obstacles giving a larger buffer for adverse winds.</s>,"Operation on the Six Rivers National Forest, Young Fire began on 8/18 with the DOI agency FireFly VTOL UAS. The 8/25 afternoon IR reconnaissance flight landing concluded with a propeller strike. The approach was set in guided mode with an automated RTL landing. Within approximately 5 meters from the takeoff location a side gust of wind pushed the UAS off target completing the landing 12 feet from center point where the ground was struck breaking the tips of two of the six propellers. No other damage occurred to the UAS. Corrective action was to relocate the takeoff and landing area to a larger opening.  The propeller strike location was selected based on line of site for the radio link.  Operations were moved to a larger area clear of all obstacles giving a larger buffer for any adverse winds on final."
56,Bureau of Land Management (BLM),Arizona Strip District Office,Arizona State Office,Potato Fire,8/24/2017,2:00 PM,,17-0838,"Fire, Initial Attack",None,,,,No,No,No,No,,,Unmanned Aircraft System (UAS),,,"During initial attack on a local district fire, employee used a personal drone to fly .6 miles to check out a smoke report. Employee thoughts were to check the fire activity, the fuels between the crew and the fire, size of fire, and take a picture to send back to Duty Officer. The fire was burning in a Ponderosa stringer and only consuming the needle litter. Employee asked dispatch if they could get permission from D.O. to let fire clean up understory. While waiting for answer employee flew drone once more around the acre fire and recorded flight. Employee sent pictures and video to duty officer to show them that fire could be confined/contained to under 5 acres. After the flights the employee was advised that they had in fact broke BLM Policy by flying a personal drone and without the proper certification.",,,,,,,UAS,,,"During initial attack on a local district fire, employee used a personal drone to fly .6 miles to check out a smoke report. Employee thoughts were to check the fire activity, the fuels between the crew and the fire, size of fire, and take a picture to send back to Duty Officer. The fire was burning in a Ponderosa stringer and only consuming the needle litter.",,<pad> employee used drone to fly.6 miles to check out smoke report on acre fire. employee asked dispatch if they could get permission to let fire clean up understory. employee sent pictures and video to duty officer to show them that fire could be confined/contained to under 5 acres.</s>,,"During initial attack on a local district fire, employee used a personal drone to fly .6 miles to check out a smoke report. Employee thoughts were to check the fire activity, the fuels between the crew and the fire, size of fire, and take a picture to send back to Duty Officer. The fire was burning in a Ponderosa stringer and only consuming the needle litter. Employee asked dispatch if they could get permission from D.O. to let fire clean up understory. While waiting for answer employee flew drone once more around the acre fire and recorded flight. Employee sent pictures and video to duty officer to show them that fire could be confined/contained to under 5 acres. After the flights the employee was advised that they had in fact broke BLM Policy by flying a personal drone and without the proper certification. nan"
