cluster,Phase,Cause,Failure Mode,Effect,Control Process,Recommendations,Frequency,Severity,Risk,NTSB
Aircraft wake turb encounter,Standing-Engine(s) Operating; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"pilot's, failure to maintain adequate separation behind a corporate, jet,","encounter with wake, turbulence, of, -, cirrus airplane entered the","an, wing -, down, of descent, in, of, pilot ’","extend, downwind, report, climb, go, flight - following, services, approach,","stand, start, around, turn, issued, wake turbulence, advisory, avoid operating",3,3.888888888888889,11.666666666666666,20170612X90227
Airport occurrence,Maneuvering-Aerobatics; Maneuvering-Low-alt flying; Taxi-from Runway; Taxi-to Runway; Enroute-Climb to cruise; Landing; Taxi,"failure of a utility pipe beneath the ramp, surface, failed","localized void in the, erosion of the, soil, void beneath","soil, reduction in the load bearing, capability, of the, ramp,","lights, metal barricade sections were, erected, -, the, bush was,","with, or, cones, , hold",3,2.875,8.625,20151029X61656
Attempted remediation/recovery,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Enroute-Change of cruise level; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"student pilot's, loss, control, gusting wind, conditions, certified flight instructor's,","' s airspeed and altitude decreased more, left wing contacted","re, airplane, landing, engine, power, pilot, initiated a, forced, structural,","cfi took authority over the flight, controls, pilot relinquished the",", should, immediately apply full, power, and, heat, off, turn,",4,3.152073732718894,12.608294930875577,20161024X32755
Birdstrike,Approach-VFR Pattern Downwind; Enroute; Enroute-Descent; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Maneuvering; Initial Climb; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Maneuvering-Hover; Approach; Landing-Landing Roll,"at low, bird, surface, a, red - tailed, hawk, female","in - flight, collision, with a, bird, large, pass, foul,","bird, substantial, damage, large, broke the front center, windshield, of,","was, towed to the gate, a, bird ingestion and containment,","see the public, , enter, keep an, eye, on, land,",4,3.0114942528735633,12.045977011494253,20170626X02552
Cabin safety event,Approach-IFR Final Approach; Enroute; Enroute-Descent; Landing; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Landing-Landing Roll; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Enroute-Cruise; Maneuvering-Low-alt flying; Post-Impact; Standing-Engine(s) Start-up,"improper latching of the aft galley, cart, maintenance, history, restraint,","moderate, turbulence, the, aft beverage cart rolling, forward, cart traveled","passenger was, seriously, injured, striking a passenger's, ankle, passenger, fell","b flight attendant and an, onboard doctor attended to the,",", location of hand, holds, proper, stance, at, touchdown, add,",4,3.7777777777777777,15.11111111111111,20181001X90405
Clear air turbulence encounter,Approach-IFR Final Approach; Enroute-Descent; Takeoff; Standing-Engine(s) Not Oper; Landing; Taxi,"in, encounter with, clear air, turbulence, seat belt, sign, was,","turbulence, from, in, encountered, def, along the, structural twisting, damage,","injury to a cabin, attendant, jolt, damage the, airplane, flight","reduced, captain was the flying, ( f, ), the pilot,",", fasten, belts",2,3.857142857142857,7.714285714285714,20131121X13345
Collision avoidance alert,Landing-Landing Roll; Approach,"for, failure of either pilot to call for a go","airplane touching down too, fast, inadequate runway remaining to, stop,","to, rest, airplane would not have been able to, stop,","calculated reference speed ( vref, ), pic coached, instructed the,","to set the airs, command, cursor, to, perform the after",2,4.0,8.0,20160229X84507
Collision during takeoff/land,Approach-IFR Final Approach; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Pushback/Towing; Taxi-to Runway; Landing; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Standing-Engine(s) Start-up; Maneuvering-Low-alt flying; Post-Impact; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"pilot's loss, control, airplane, s engine, takeoff, had, trouble, altitude,","of directional, started to run, rough, main landing gear impacted","airplane, impacted a runway, light, fell in, collision with a,","landing, dew, full engine, power, rep, the helicopter on the",", should, use 75 percent of, flaps, advises pilots on,",4,3.245398773006135,12.98159509202454,20171229X23639
Collision with terr/obj (non-CFIT),Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; After Landing; Enroute; Enroute-Descent; Pushback/Towing; Taxi-to Runway; Approach; Landing; Standing-Engine(s) Not Oper; Maneuvering-Aerobatics; Standing-Engine(s) Shutdown; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Standing; Landing-Flare/Touchdown; Enroute-Change of cruise level; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Standing-Engine(s) Start-up; Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Approach-IFR Missed Approach; Maneuvering-Hover; Post-Impact; Approach-VFR Go-Around; Approach-Circling (IFR); Landing-Landing Roll,"pilot's, failure to maintain, clearance, between the airplane, s right,","edge of the right wing contacted the, ab, with rising,","substantial, damage to the, spar, landing, collision, terrain, collided, sustaining,","adequate, clearance, instrument landing system, approach, land, tower controller, provided","attitude of, airplane must be determined by artificial, means, from",5,3.463498098859316,17.317490494296578,20110407X02204
Comm system malf/failure,Maneuvering-Low-alt flying; Approach,"’ s, the, helicopter was positioned on top of a,","pilot, miscommun, with the, takeoff with the filler hose attached","impact, truck, helicopter came to, rest, on its left, side,","right pedal, turn, avoid tail rotor, tried, position, far, -",,2,3.5,7.0,20211025104161
Control flight into terr/obj,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Standing-Engine(s) Operating; Enroute; Enroute-Descent; Taxi-to Runway; Landing; Standing-Engine(s) Not Oper; Maneuvering-Aerobatics; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Enroute-Change of cruise level; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Standing-Engine(s) Start-up; Enroute-Holding (IFR); Maneuvering-Low-alt flying; Approach-IFR Initial Approach; Approach-IFR Missed Approach; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Post-Impact; Landing-Landing Roll,"pilot, did not maintain separation from, trees, pilot ’ s,","lights started to, flicker, collided with, issues, encountered, clouds, would","airplane, immediately, trees, came to rest, inverted, terrain, sustained, substantial,","conduct, touch - and - go, takeoff, climbing above, extended","about, trees, publication, , check for water, contamination, drain the",4,3.7547683923705724,15.01907356948229,20170806X13056
Ditching,Enroute-Cruise; Initial Climb; Maneuvering-Low-alt flying; Landing-Flare/Touchdown; Enroute; Takeoff; Approach-VFR Pattern Final; Taxi-to Runway; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"air -, tow, busy, roads, lots, glider was caught on","encounter with, turbulence, loss of, lift, severe, sink, sink rate,","lake, encountered, high, rate, glider, damage, and, und, electrical system,","to maneuver the, glider, land, ground, battery was, charged, ground",", fuel, heat should be applied for a short, time,",3,3.2857142857142856,9.857142857142858,20120624X73746
Dragged wing/rotor/float/other,Approach-VFR Pattern Downwind; Approach-VFR Pattern Crosswind; Enroute; Landing; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Emergency Descent; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Landing-Flare/Touchdown; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Post-Impact; Approach; Maneuvering-Hover; Landing-Landing Roll,"inoperative electric pump, motor, not, extended, failure of the power,",failure of the landing gear to fully extend and lock,"both main landing gear legs, collapsed, rear fuselage and left","topped off ”, visually checked, tanks were, full, site, survey,","airplane be “, with, fuel, , landings, lower themselves inside",4,3.103896103896104,12.415584415584416,20120702X10955
Dynamic Rollover,Enroute; Enroute-Descent; Approach; Standing-Engine(s) Not Oper; Landing; Takeoff; Prior to Flight; Taxi; Emergency Descent; Initial Climb; Uncontrolled Descent; Landing-Landing Roll; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Cruise; Maneuvering-Low-alt flying; Maneuvering-Hover; Post-Impact; Approach-VFR Go-Around; Standing-Engine(s) Start-up,"student pilot's control, inputs, practicing takeoffs and, landings, ski, remaining,","inadvertent dynamic, rollover, cfi's inadequate supervision of the, left skid","helicopter, rolled over on its left, side, sustained, substantial, damage,","certified flight instructor ( cfi ) was providing, instruction, ,","not have been providing, instruction, and, landings, , action, apply",4,3.0727272727272728,12.290909090909091,20120313X43536
Electrical system malf/failure,Initial Climb; Enroute-Cruise; Approach-IFR Final Approach; Uncontrolled Descent; Standing; Enroute; Enroute-Descent; Takeoff; Approach-VFR Pattern Final; Enroute-Climb to cruise; Post-Impact; Approach; Prior to Flight; Landing-Landing Roll,"a schema, unable, pilot ’ s, landed, at a controlled,","simultaneous, loss of engine and electrical, power, after, of engine,","loss, and, power, trees, substantial, damage, airplane, experienced, the cockpit","orientation, wheels - up, landing, computer - controlled electronic ignition,",", <, >, electrical power should have been available from",3,3.0952380952380953,9.285714285714286,20150831X33537
Emergency descent initiated,Enroute; Landing,"maintenance personnel ’ s, inadequate securing of a wiring, bundle,","chafing of the wiring, bundle, electrical short and, in, fire,","arcing, - flight, extinguished the, fire, airplane, incurred, minor, partial,","the, halon fire, modifications to the lighting, interior, and, galley,",", supplemental, inspections",2,2.75,5.5,20170516X85801
Engine shutdown,Initial Climb; Enroute-Cruise; Taxi-from Runway; Enroute-Descent; Takeoff; Approach-VFR Pattern Final; Approach; Landing-Landing Roll; Landing,"pilot, did not obtain the proper touchdown, point, decision, shut","fatigue fracture of a turbine, blade, imbalance of the turbine,","wheel, failure of the, turbocharger, large, declared an, emergency, descent,","the, gear, run the, shut down the, landing, grassy, turbocharger",", practice, water washing the, engine",3,2.75,8.25,20110830X45215
Evacuation,Landing-Flare/Touchdown; Landing-Landing Roll; Takeoff-Rejected Takeoff; Post-Impact,"premature retraction, landing, gear, takeoff, pilot rotated the nose of","of the, gear, left engine, uncontained, fire, gusting crosswinds, loss","collapse, and, impact with the runway, surface, landing, began to,","gear, handle, shut down both, egressed the, allowable crosswind component,",", mid",3,3.5714285714285716,10.714285714285715,20141021X84349
Explosion (non-impact),Takeoff-Rejected Takeoff,"improper, insulation, of the anticollision light, wiring, fire, wiring for","vapor, fuel, leak, damage, loud, bang, the, fire, black, black","flames, damage, wing, comb","soo, safety communique, the fuel and electrical","maintain, systems, no, fuel, leaks, or, staining",1,3.0,3.0,20180611X21625
Explosion (post-impact),Takeoff; Enroute-Climb to cruise; Post-Impact; Approach; Emergency Descent,"pilot, inadequate, airspeed, excessive bank, angle, while, performed turns in","aerodynamic, stall, airplane bank to the, left, descent, preimpact, failure,",", declared an, emergency, "" and engine, power, airplane, collided,","instructed, get, the power, drop, toxicology, methylone, "", go -,","should, land as soon as, prepare, ",3,4.0,12.0,20150729X12539
External load event (Rotorcraft),Initial Climb; Enroute-Cruise; Maneuvering-Low-alt flying; Taxi-from Runway; Takeoff; Approach-VFR Pattern Final; Maneuvering-Hover; Landing-Landing Roll; Landing,"pilot ’ s, failure to maintain ground, clearance, load, did","came, obstacle, on the, ground, line did not, det, pitched","it, apart, and, fell from the, line, helicopter, accident, electrical,","line release, switch, concrete bucket, work, moving the cyclic right",", help, into, harness, hold, ship pilots can be, transferred,",3,4.0,12.0,20160711X20144
Fire/smoke (non-impact),Approach-VFR Pattern Downwind; Enroute; Pushback/Towing; Taxi-to Runway; Pushback/Tow-Engine Start-up; Landing; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Standing-Engine(s) Start-up; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Maneuvering-Hover; Approach; Landing-Landing Roll,"pilot ’, excessive engine rpm and, speed, during, braking, continuous","wheel brake, fire, right brake "", popped, 180 degree, turn,",""", right pedal “ lost all, pressure, engine was, fire,","given instructions, initiated the takeoff, checklist, the engine, rpm, tower,",", means land, asap, turned on the emergency electrical, power,",4,3.0,12.0,20130614X10228
Fire/smoke (post-impact),Approach-IFR Final Approach; After Landing; Enroute; Enroute-Descent; Landing; Takeoff; Prior to Flight; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Other; Standing-Engine(s) Start-up; Enroute-Cruise; Maneuvering-Low-alt flying; Post-Impact; Approach; Landing-Landing Roll,"demonstration of, poor, judgment, attempting a high - speed, pass,","clearance, the, runway, -, speed, propeller began striking the runway,","airplane, impacted the, ground, subsequently, caught, fire, impair, effects on","was, modified, air traffic control communications were transferred, breaker, switches,","see the, docket, view, original, , certificate, license, must not",4,3.9206349206349205,15.682539682539682,20200820X60853
Flight control sys malf/fail,Approach-VFR Pattern Downwind; Enroute; Enroute-Descent; Landing; Maneuvering-Aerobatics; Takeoff; Takeoff-Rejected Takeoff; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-IFR Missed Approach; Post-Impact; Approach; Approach-Circling (IFR); Landing-Landing Roll,"washer, application of left, pedal, tail rotor pitch change beam","misalign, separation of the washer and, nut, uncommanded right ya,",", issuing an alert, letter, (, asl ), form, the,","-, differential, braking, maintenance, replace, pitch change beam retaining, nut,",", holes, attachments, link, have been, must be shown to",4,2.883116883116883,11.532467532467532,20150313X75813
Flight instrument malf/fail,Enroute-Cruise; Takeoff; Initial Climb; Landing,"inaccurate attitude, reference, ’ s control inputs did not seem,","pilot ’ s loss of, control, in process ” )","substantial, damage, wings, runway, overrun, declared an, emergency, landed, long,","published, displays, recover normal, reviewing the design and display certification,",", add, tube, covers",3,2.8333333333333335,8.5,20141011X20926
Fuel contamination,Initial Climb; Enroute-Cruise; Approach-VFR Pattern Downwind; Maneuvering-Low-alt flying; Uncontrolled Descent; Landing-Flare/Touchdown; Enroute; Takeoff; Approach-VFR Pattern Final; Takeoff-Rejected Takeoff; Maneuvering-Hover; Approach-VFR Go-Around; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"water, contamination, in the fuel, system, pilot ’ s inadequate","total loss of engine, pop, loss of engine, engine lost","power, performed a, forced, landing, to, field, struck, trees, came","drained, fuel, drains, rpm, gauge, was, tested, water, gallons of,",", bypass valve inlet port screen be, checked, screen be,",3,3.393939393939394,10.181818181818182,20170308X31846
Fuel exhaustion,Approach-VFR Pattern Downwind; Approach-IFR Final Approach; Enroute; Enroute-Descent; Landing; Standing-Engine(s) Shutdown; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Standing-Engine(s) Start-up; Unknown; Enroute-Cruise; Maneuvering-Low-alt flying; Approach-Circling (IFR); Approach; Approach-VFR Go-Around; Landing-Landing Roll,"improper fuel, management, fuel gauge indicated one - eighth, one,","loss of engine, fuel, exhaustion, to, -, low fuel pressure,","power, total loss of engine, helicopter, landed, hard, substantial, and","visually checked the fuel quantity, right fuel, tank, filled the,",", determine what, change in fuel, flow, plan, accordingly, more,",4,3.2290076335877864,12.916030534351146,20160523X20657
Fuel related,Enroute-Cruise; Initial Climb; Maneuvering-Aerobatics; Approach-VFR Pattern Base; Maneuvering-Low-alt flying; Uncontrolled Descent; Enroute; Landing-Flare/Touchdown; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll; Landing; Emergency Descent; Maneuvering,"fuel, leak, at an undetermined, in the, builder's use of","fuel pressure and, engine rpm, abnormalities, engine experienced, power, loss,","complete, fire, in the engine, compartment, consumed most of the,","power, applied full rich, mixture, carburetor, heat, looked at the",", lights, inspect, control, arm, for, and dew, point, select",3,3.3055555555555554,9.916666666666666,20170130X23850
Fuel starvation,Approach-VFR Pattern Downwind; Enroute; Enroute-Descent; Landing; Takeoff; Takeoff-Rejected Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Uncontrolled Descent; Taxi-from Runway; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Approach-VFR Pattern Base; Unknown; Enroute-Cruise; Standing-Engine(s) Start-up; Maneuvering-Low-alt flying; Maneuvering-Hover; Approach; Approach-VFR Go-Around; Landing-Landing Roll,"did not maintain, airspeed, loss, power, pilot's selection of the","of engine, aerodynamic stall and, spin, fuel, engine began sp,","stalled, and, spun, tanks were found, but, compromised, power, landing,","of, power, selected, tank, switch, stretch the, exit, fuel tank",", provide, passengers a safety, read out loud a pre,",4,3.2358490566037736,12.943396226415095,20140602X41843
Glider tow event,Takeoff; Landing-Flare/Touchdown; Landing; Enroute-Climb to cruise,"released, tow, airplane, lower, altitude, pilot, from, plane, maneuvered the,","pilot, from the, released, was too low to make, the,","off - airport, landing, glider, landed, hard, fuselage, sustained, it,","the altimeter, field, ground, winch, safe, landing, lowered the nose,",", a, tow, rope, laid, out, next, ring, attach, take",3,3.6,10.8,20120905X92749
Ground collision,Approach-VFR Pattern Downwind; Standing-Engine(s) Operating; Approach-VFR Pattern Crosswind; Enroute; Enroute-Descent; Pushback/Towing; Taxi-to Runway; Pushback/Tow-Engine Start-up; Landing; Takeoff; Prior to Flight; Taxi; Emergency Descent; Maneuvering; Initial Climb; Taxi-from Runway; Uncontrolled Descent; Standing; Landing-Flare/Touchdown; Approach-VFR Pattern Final; Enroute-Climb to cruise; Other; Taxi-into Takeoff Position; Standing-Engine(s) Start-up; Approach-VFR Pattern Base; Enroute-Cruise; Maneuvering-Low-alt flying; Post-Impact; Approach; Approach-VFR Go-Around; Maneuvering-Hover; Landing-Landing Roll,"', inadequate visual, lookout, failure, zodiac, did not see the,","to see and avoid the, zodiac was, from the, propeller,","hit, rear, vertical stabilize, were, destroyed, strike, minor, damage, to","radio, calls, position, reports, checked the tow, bar, bypass pin,","inform, , use caution, hold, pilot, clearance, upon, as soon",4,2.878504672897196,11.514018691588785,20140603X83103
Ground handling event,Initial Climb; Enroute-Cruise; Approach-VFR Pattern Downwind; Maneuvering-Low-alt flying; Uncontrolled Descent; Landing-Landing Roll; Standing; Landing; Landing-Flare/Touchdown; Enroute; Pushback/Tow-Engine Not Oper; Takeoff; Pushback/Towing; Approach-VFR Pattern Final; Prior to Flight; Standing-Engine(s) Start-up; Standing-Engine(s) Not Oper; Taxi,"pilot's, failure to properly secure the, airplane, while manually starting","inadvertent movement of the, with the, battery was, insufficiently, engine","airplane, collision, ground, would not start the, engine, accelerated, therm,","inspect, attempt, start, hand propping, it, set the throttle, brake,",", brakes, mechanically, <, >, released, must be conducted, set",3,3.25,9.75,20111018X03714
Ground resonance,Standing-Engine(s) Operating; Takeoff; Approach-VFR Pattern Final; Takeoff-Rejected Takeoff; Prior to Flight; Landing-Landing Roll; Landing; Emergency Descent,"inadequate maintenance of the helicopter's landing gear, damp, leaking, not","rotor out - of - balance, condition, ground resonance, encounter,","fell, capabilities, resonance, and, destruction of the, helicopter, to, shut","touchdown, reduced engine, power, applied collective friction for, preflight, inspection,",", dampers, manual, testing procedures and, criteria, one - time",3,3.0,9.0,20120611X14804
