,index,Lesson(s) Learned Level 1,Lesson(s) Learned Level 2,Driving Event Level 1,Driving Event Level 2,Recommendation(s) Level 1,Recommendation(s) Level 2,Lesson IDs for row,Number of lessons for row,,,,
184,1332,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","random vibration, random vibration test, sinusoidal, random, octave, dynamic, vibration reliability prefer, vibroacoustic, sine, predict","crane, strap, second, lift, load, redesign, release, secure, stop, modify","relief valve, human factor, wind tunnel, hazard, personal protective equipment, personal protective, relief, train personnel, rate, human","[153, 321, 344]",3,,,,
185,763,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","residue, cleanliness, particulate, molecule, contamination control, volatile, contaminates, molecular, cleaning process, performance degradation","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify","electrical power, approval process, ensure proper, packaging, critical item, packaging design, instead, generate, quality assurance, assurance","[102, 212, 301, 484, 990, 1428]",6,,,,
197,786,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","manage, atmospheric carbon, orbit satellite, time dependent, mission manage, orbit carbon, caltech, dioxide, precise, guske","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum","[956, 958, 967]",3,,,,
208,582,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","explosion, injury, employee, tighten, burn, electrical shock, injured, explode, newly, contact","approximately hour, high resolution, trajectory, spacecraft trajectory, soil moisture, smap, illuminate, intervention, auto, soil","assumption, ensure proper, always, vent, placement, high priority, particle, pyro, precaution, doubt","risk mitigation, mitigation, concern, risk management, plan, safety concern, contingency, capture, management, occur","[1259, 1266]",2,,,,
224,261,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","management, project, lack, formal, manager, organization, contractor, request, risk, development","lander, exploration rover, rover, land, martian, additional word, exploration, entry descent land, entry, entry descent","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","display, indicate, color, appropriately, isolate, occurrence, obvious, main, flag, cell","[259, 3316]",2,,,,
227,1096,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","management, project, lack, formal, manager, organization, contractor, request, risk, development","lander, exploration rover, rover, land, martian, additional word, exploration, entry descent land, entry, entry descent","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","electrical mechanical, mechanical, program gidep, bulletin, industry, attempt, government, back, prevent, application","[584, 1212]",2,,,,
243,745,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","management, project, lack, formal, manager, organization, contractor, request, risk, development","variable size, nasda, adeos, undetected, data capture, processing system seawinds, system seawinds, intermittent nature, interval data, early nasda report","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space shuttle, space station, prime contractor, mate demate, safety mission assurance, access platform, mission assurance, shuttle, segment, avionics","[1019, 1211]",2,,,,
262,1389,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range","[137, 4236]",2,,,,
278,1576,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","negotiate, altitude, incentive, strain relief, action item, successfully demonstrate, spacecraft integration test, pending, mail, platinum","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[274, 1215]",2,,,,
322,65,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","antenna, deployed, stow, motion, conical, deployment sequence, reflector, deployment, partially, upper stage","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","original, employ, modify, force, replace, continue, application, equipment, memory, vulnerability","[225, 607, 609, 16901]",4,,,,
332,1080,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","relevant historical, relevant, historical, solder, print, solder joint, print wiring, conformal, conformal coat, viking","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","vent, pressure, leak check, monitor, integrity, back, provide, design, interface, concentration","[225, 607, 609, 16901]",4,,,,
341,1391,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","supply, power supply, power, length, cable, parallel, feed, breakdown, connector, redesign","[133, 1797]",2,,,,
351,1387,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, bridge, bridge crane, drive motor, recommend technique, effective maintainability, technique number, overhead, maintainability, relay","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[141, 846]",2,,,,
354,487,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","extravehicular mobility, extravehicular mobility unit, mishap investigation, thin wall, thin, wall, steam line, catastrophic failure, steam, exhaust","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range","[290, 1393]",2,,,,
356,1480,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","extravehicular mobility, extravehicular mobility unit, mishap investigation, thin wall, thin, wall, steam line, catastrophic failure, steam, exhaust","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","matrix, vulnerability, correction, fault, potential, lose, prime, reexamine, take step, assignment","[49, 1183]",2,,,,
365,761,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[493, 993]",2,,,,
378,1419,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum","[102, 212, 301, 484, 990, 1428]",6,,,,
385,1327,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","oven, extent damage, concrete, arrow, arrow point, concrete floor, explode, blue, pitch, nose","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[238, 1106]",2,,,,
387,1540,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","flight hardware, close call, high pressure, manufacturing process, configuration control, increase risk, result close call, loss life, stainless steel, lift operation","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","oven, extent damage, concrete, arrow, arrow point, concrete floor, explode, blue, pitch, nose","crane, strap, second, lift, load, redesign, release, secure, stop, modify","relief valve, human factor, wind tunnel, hazard, personal protective equipment, personal protective, relief, train personnel, rate, human","[298, 3640]",2,,,,
394,180,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","loss, valve, fire, damage, improper, result, equipment, purge, control, pressure","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","engine, main engine, main, space shuttle, abort, ssme, fuel pump, command data simulator, data simulator, large amount","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","soon possible, conduct thorough, possible, space shuttle, space shuttle program, soon, work group, term, long term, long","[4016, 4058]",2,,,,
395,390,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","loss, valve, fire, damage, improper, result, equipment, purge, control, pressure","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","venus, scan platform, scan, mapping, solar panel, workarounds, eject, ejection, voyager, additional","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","develop implement, develop, team member, assign, member, official, carry, worker, vertical, held","[1582, 2057]",2,,,,
407,1415,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","loss, valve, fire, damage, improper, result, equipment, purge, control, pressure","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","proof, arise, coordinate, briefing, fail, electronic, personnel involve, clearly, monthly, fixture","stainless steel, show, thermal vacuum test, thermal vacuum, much, preparation, lack, spacecraft, various, cable","[89, 1114]",2,,,,
419,739,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","loss, valve, fire, damage, improper, result, equipment, purge, control, pressure","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","destructive physical, destructive physical analysis, power converter, pathfinder, hybrid, converter, tiger, effect transistor, tiger team, military specification","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[1015, 1032]",2,,,,
429,1507,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","loss, valve, fire, damage, improper, result, equipment, purge, control, pressure","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[193, 1012]",2,,,,
432,1539,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","loss, valve, fire, damage, improper, result, equipment, purge, control, pressure","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","ventilation, fire department, alarm, perform task, general purpose, scene, technician perform task, extinguisher, fire alarm, contribute","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","change, deviation, installation, document, write, procedure, work authorization, pressurize, caution, temporary","[290, 1393]",2,,,,
442,676,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","space shuttle, shuttle, upgrade, main engine, space, engine, system, software, ssme, monitoring","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[238, 1106]",2,,,,
465,777,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","space shuttle, shuttle, upgrade, main engine, space, engine, system, software, ssme, monitoring","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","space station, productivity, safety hazard, tether, ease, visibility, suit, participation, recommend technique, effective maintainability","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","electrical mechanical, mechanical, program gidep, bulletin, industry, attempt, government, back, prevent, application","[948, 966]",2,,,,
468,1329,"damage flight hardware, flight hardware, damage, hardware, failure, power, personnel injury, result, flight, inadvertent","space shuttle, shuttle, upgrade, main engine, space, engine, system, software, ssme, monitoring","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","crew return, crew return vehicle, staff, experimental, routine maintenance, bldg, information system llis, system llis, mishap report, duty","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","change, deviation, installation, document, write, procedure, work authorization, pressurize, caution, temporary","[195, 1734]",2,,,,
482,812,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","permanently, handbook, content, tether, line management, specifically, attach, general, aware, handle","[380, 923]",2,,,,
485,1108,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision","management, project, lack, formal, manager, organization, contractor, request, risk, development","variable size, nasda, adeos, undetected, data capture, processing system seawinds, system seawinds, intermittent nature, interval data, early nasda report","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[569, 4417, 5456]",3,,,,
489,715,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","fault protection, cost effective, anomaly resolution, protection, extend mission, launch delay, risk associate, fault, associate, decision","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","destructive physical, destructive physical analysis, power converter, pathfinder, hybrid, converter, tiger, effect transistor, tiger team, military specification","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","preferably, trade, language, actively, volume, screen, trade study, group, success, estimate","[1054, 1056]",2,,,,
