,Unique IDs,Combined Text,Evacuations,Hazardous Terrain,Innacurate Mapping,Ecological Resources,Command Transition,Wind,Dry Weather,Rain,Law Violations,Road Closures,Smoke,Military Base,Cultural Resources,Resource Shortage,Thunderstorms,Infrastructure,Injury,Livestock,Aerial Grounding
10,2012_MO-MTF-000045_BRUSHY CREEK_0,['will continue to monitor and patrol this burn till rainfall received.. red flag warning  derecho blown down fuel. residential area.'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2007_OR-PRD-000526_BLACK ROCK_0,['moderate growth.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2008_OR-RRF-000229_LONESOME COMPLEX_27,['planned control operations haveexceeded the preferred alternative wfsa boundary on the north side of the fire.  the wfsa is being revised and reviewed.  regional forester representative team is in place reviewing planned strategies.. lack of safety zones.  limited access  extremely steep terrain.'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012_CO-CRS-379_CEDAR KNOB_2,['100% containment @ 0001  firelines held through wind events due to passing t-storms'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011_FL-FLS-2011-08-0372_SWAMP_0,['several spots today increase the active acres.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011_NV-ELD-0067_SANTA CLARA_1,['all units will be released  with daily monitoring for the next few days. heavy fuel loading in the 1 hour fuels  desert tortoise habitat.  proximity to adjacent state and federal lands'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2008_TX-TXS-88280_BRADLEY RANCH_4,['rekindle of bradley ranch fire  fire increased 450 acres to 1300 acres.  air attack and 2 seats supported vfd efforts.. rekindle of bradley ranch fire  fire increased 450 acres to 1300 acres.. peresistant hot dry weather and continued hot dry forecasts into the near future.'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2012_SC-SCS-12WF0398_TILLMAN ROAD_0,['fd responded. 2 structures damaged value $1 000 and 3 boxes lost value $1 000'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2008_FL-FLS-2008-16-0322_MYAKKA CUT_18,['fire containment has been changed to reflect current conditions. small amount of rainfall on fire today. drought conditions and access.'],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19,2006_FL-FLS-2006-_35/SOD FIRE 0449_1,['there is some duff burning in the interior of the fire.  crews are working mop-up operations and observing weather conditions.. swampy conditions make fire fighting tactics are difficult.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2010_WA-OLP-010_HOPPER_0,['monitor crew is hiking into the area on 8/13/10 and will arrive in fire area on 8/14/10.. /hoodsport areas when diurnal smoke moves downslope.  possible smoke impacts to puget sound with west winds if fire size continues to increase.'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,2011_MS-MSR-011_BREAKWATER_7,['slopover on july 11 caused slight increase in acreage.  patrol and rehab fireline as conditions allow.  `'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2012_CA-MEU-005115_NORTH_6,['box 19: reduced acreage reflects better on the ground gps data  box 36: estimated final cost has been updated.. all out-of-county resources were demobed today.'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2013_ID-BOF-000482_RIDGE_26,['ridge  boise national forest. 14 mile ne of lowman  id. timber. creeping with isolated torching. potential for long term event is moderate due to lack of resources. commitment of additional resources at this time would reduce exposure to firefighters  resource losses  and long term smoke impacts.. remote  rugged  steep terrain with heavy fuel loading. limited accessibility  only by air. limited personnel available which are needed to construct direct handline on the west side of the fire in the headwaters of the clear creek. also needed to check the westward movement that has continuous heavy dead lodgepole  conifer and subalpine fir. with successful action in this area will prevent fire spread into sensitive bull trout and salmon habitat.'],0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,2011_FL-FLS-2011-11-0200_WATER FIRE_0,['fire started from a non authorized burn.  the individual used a local burn in the area to mask thier burn.  ag law is investigating'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,2012_CO-RMP-975_FERN LAKE_3,['south line of fire is a critical piece to hold. concerns if fire spreads east. management action points to the north east and south relying on heavy helitanker support.. continued evacuationof moraine park campground and multiple trail and area closures. fire spread successfully contained on south flank utilizing helitanker. foresee need for continued use of helitanker to keep fire from spreading to the south and east. increased fire size due to more accurate mapping.. high media interest  concerns the winds will pu and move the fire to the east towards critical park infrastructure and additional inholdings.'],1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2009_TX-TXS-990138_BEAVER LAKE_3,['fire has been returned to local unit.. fire has been returned to local unit.. continuing hot  dry and windy weather with fire in thick juniper brush and rocky ground is giving control problems.'],0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,2006_CA-KNF-003497_UNCLES COMPLEX_77,['all planned actions continue to be geared towards containing the southward spread of the hancock fire as well as the south and easterly spread of the uncles consistent with the long range implementation plan. a new wfsa (#3) is being drafted due to the fires spread over steinacher ridge. 50 of the 186 assigned resources are local klamath national forest personnel; therefore  a base camp is not set-up and the icp is in the town of fort jones. current acreage for each fire is as follows- hancock 11 729; uncles 3 633; rush 4 873; for a total acreage of 20  235. rush fire is 100% contained  the uncles fire is 50% contained and the hancock fire is 5% contained.. crews are prepping portuguese ridge in anticipation of the hancock fires progression south of steinacher creek up to the ridge. movement of the hancock fire continues to be slowed by water drops in steinacher creek and on steinacher ridge when the smoke inversion lifts; however  the fire continues to advance. crews have made very good progress on the northern and eastern flank of the uncles fire near upper abbotts cabin and deadman gulch. the fire in deadman gulch on the eastern flank of the uncles fire has been stopped.. critical needs continue to be for type i crews  a type ii helicopter and one line safety officer in order to continue confinement actions on the south and west of the hancock fire.  fire activity on the hancock fire has significantly increased directly southwest of rock creek and has bumped steinacher creek in two locations.  limited perimeter data is available due to smoke inversions and an ir flight remains a critical need.  trigger points 3  4 and 5 have all been breached by the fires.  trigger point 3 is located on the eastern flank of the uncles fire while trigger points 4 and 5 are on the north and south flanks of the hancock fire.'],0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
28,2006_TX-TXS-066143_RICHIE RANCH_3,['controled 6/24/2006 1800hrs.. fire is declared controled'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2008_CA-MNF-645_SODA COMPLEX_30,['a type ii team has been ordered.     complex contains four fires and they are listed in priority:      (1)  mill fire  1030 acres   50% contained   est containment  7/16/2008 ;   (2)  monkey fire  1505 acres   60% contained   est containment  7/14/2008 ;   (3)  big fire  2190 acres   100% contained   est containment  7/5/2008 ;   (4)  back fire  1600 acres   100% contained   est containment  6/29/2008 ;. (1) mill fire: divisions c/f/j were patrolled.  division g�s crews disengaged from the fire line for most of the shift because of a conflict with non-fire personnel on the northern flank. the southern flank was patrolled and mopped up by engines. the north west fire flank has spread to rocky point and southwest of rocky point towards thomas creek.   (2)  crews on the monkey rock fire patrolled and mopped up along the north east flank and the recent spot fires.    (3  4) ia resources patrolled the big and back fires.   ia resources also assisted patrol on the east side of monkey rock fire.. monkey rock fire is entirely within the yuki wilderness while the mill fire western flank is in the sanhedrin wilderness.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2010_AZ-TNF-000043_MILL 2_1,['increse in size due to hot and dry weather conditions combined with successful firing operations. tomorrow should experience moderate fire growth to the north.. steep terrain combined with decadent fuels is leading to access problems'],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,2010_LA-KIF-011009_WRANGLER_15,['have recieved 1.8 inches of rain'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,2007_WY-BTF-00004_HORSE CREEK_9,['transition to a type 3 team will take place on july 3rd at 1800.. acheived containment. completed rehab plan.'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2006_WY-WRA-048_WISE FLAT_1,['fire is looking good.  not spots in black  some hot spots across the river.. spotting into river bottom fuels.  difficult access  steep.'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2014_140210_STALEY COMPLEX_5,['transition from poet  southern cacades interagency imt3 to russell  rocky mountain team a imt2 will occur at 0600 on 8/8/2014.. fire activity is primarily creeping and smoldering. incident #202 has isolated torching and spotting with fire growth also occurring from rollout into unburned fuels.'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2011_MN-SUF-110519_PAGAMI CREEK_17,['heavy smoke hinders accuracy of these estimates.unified command with lake county sheriff is in place. type 1 imt is enroute. plume dominated fire yesterday caused major increase in size.. homes are being evacuated and unified command with lake county sheriff is in place.. continuous fuels in all directions  limited access (water only)  long range spotting potential has been occurring and is expected to continue.   local business concerned with any disruptions to visitor use within the boundary waters canoe area wilderness. homes are being evacuated  intense public and media interest.'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2012_GA-GAS-120901_PINE LOG_1,['lines were worked today with dozers. snags were falled and secured.. steep terrain with limited access. falling trees and slopovers.'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2012_CA-SHF-2290_FLAT_13,['state crw2s are from eastern states.. transfer of command from imt2 (whitcome) to home unit type 3 (richter) occurred today at 0600.  usfs hayden flat campground remains closed.. steep rocky terrain and burning rolling material.  interior fire is burning above highway 299 which is a major route for commerce  recreation  and commuters.'],0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2008_NC-NCS-08065050_EDNA BUCK ROAD FIRE_7,['cause is miscellaneous (electric fence).  fulltracs listed as engines.. eliminated hotspots identified by 4/1/08 ir flight on division b  c and d.  rehab completed on division a and b.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2006_WY-BHF-000135_DRY MEDICINE CREEK_0,['demobing resources.  will transition to type 4 incident 7/12 at 0600.'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2012_SD-RBA-120671_LONGHORN COMPLEX_6,['all remaining road closures lifted.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2010_MS-MNF-010013_THE CRIPPLED CHINOOK_21,['rain around the state but skipping the district.. fire is located within camp shelby special use training site.  unexploded ordnance is located within fire perimeter.  fire is burning along the area east of middle creek and backing toward the creek. due to military training exercises  the fire area has had limited access to forest personnel.  we have been working with the military to minimize the impact to their training schedules while keeping the fire within the big perimeter.'],0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
42,2013_CO-GMF-000413_FRANKS BENCH_2,['little growth on the fire today. fire is staffed with one type 1 wildland fire module.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2014_000120_LOZEAU_1,['very few hot spots in the last grids.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2008_VA-VAF-080026_BLACK HORSE_3,['acres burned by ownership:  fs = 1201  nps = 160  pvt = 98. 100% containment today.  one-half inch of rain on fire during past 24 hours.'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,2011_CA-TUU-000246_TYLER 3_1,['thunderstorms and lightning will be a concern as the storm system moves into the district.  gusty winds are possible.. controlled traffic on hot springs road. difficult access  narrow and windy roads  steep  underslung line  high potential for rollout'],0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
46,2009_AK-TAD-000278_SLATE CREEK_7,['the minto crew was released at 0920. personnel walked the perimeter of the fire and found'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2007_ID-SIX-001874_TRAIL CREEK_4,['continue to release resources.  control expected at 1200 on wednesday 6/27. continued mop-up operations'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2007_WY-BTF-018_GRANITE CREEK_7,['transition to an ict4 and smaller organization effective 0930 this morning. fire located in steep rocky terrain causing access problems for firefighters. establishment of anchor points is difficult.'],0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2009_WA-NCP-000203_BRUSH CREEK_0,['managed for resource benefit.. in process of closing the brush creek trail from whatcom pass to chilliwist trail junction.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2012_UT-UWF-000783_RED LEDGES_3,['significant progress was made towards meeting incident objectives with the current resources. acreage was updated due to more accurate mapping. smoke made it difficult for mapping until recent.. road closures  area closures  and campgrounds closures where modified to a smaller area. evacuations in wanrhodes basin where lifted.. the main objectives are to keep the fire west of the diamond fork road and east of the ridge line. minimize the potential for the fire reaching private property and residences west of the fire along the diamond fork road and wanrhodes basin. steep rocky terrain and extreme fire behavior continue to compromise the objectives.'],0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
51,2013_WA-OWF-000530_CONRAD LAKE_21,['work continues to open and improve road access to the fire; and contingency lines by cutting and chipping; and coordinating planning efforts with other agencies  as the fire perimeter continues to grow. the total length of the contingency lines  once constructed and improved  will be 12.7 miles.  operations personnel are working on assessing the current situation and conditions to develop a long-term projection of where the fire perimeter might be in the next few days.  this assessment will help in preparation for a possible burning operation  and will provide information to operations for timing of that potential burn. we have also gone into joint delegation with washington department of natural resource due to the fire burning onto private land.. the fire continues to burn actively to the north and northeast with creeping fire to the south. crews continue to improve roads for access  and snag mitigation is occurring in all areas of the fire that crews can access. reinforcement of lines continues in anticipation of a possible firing operation that could begin in the next several days. fire continues to slowly back down to the forest 1000 road.. providing for public and firefighter safety. accountability for the public in and around the wilderness recreational areas. access continues to be an issue with egress and ingress limitations. limited road access  snags and wilderness.'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2008_OR-RRF-000229_LONESOME COMPLEX_30,['weather will moderate tomorrow with lower temps and higher rhs  however  the increase is not enough to slow fire.  significant spread to the east threatens to cross the cascade crest tonight  onto the fremont-winema nfs.. red flad warning with record ercs.. lack of safety zones.  limited access  extremely steep terrain.  extreme burning conditions with record ercs  haines index of 6  and red flag warning with concerns of dry lightning'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
53,2011_FL-FNF-011028_IMPASSABLE BAY COMPLEX_28,['sensitive political concerns over private timber and investment holdings west of the fire area.   afternoon thunderstorms igniting new fires  and causing erratic wind patterns around existing fire.'],0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
54,2008_FL-FLS-2008-14-0012_TURKEY ROOST COMMAND_15,['l-342 has been on scene all morning with game and fish reps. and01/21/2008. smoke and fog concerns along interstate 4'],0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,2007_NV-EKD-000790_WINECUP COMPLEX_1,['the winecup complex combines the following fires (ac.)(% containment): hd summit ( 9 769 ac.) (90%)  scott creek (4 679 ac.)(30%)  black mountain (1 533 ac.)(50%)  west fork (500 ac.) (0%)  bluff (60+ ac.) (0%)  hardesty (60 ac.)(100%)  5 mile gulch (10 ac.)(100%)  volca(2)(0%)  division canyon #1 (2 ac.) (100%)  divide (1 ac.)( 0%) and division canyon #2 (<1 ac.) (100%).  broyles type imt1 took command of the complex yesterday (7/17) at 1800 hrs.. added west fork fire to the complex.  it was reported at 500 acres and growing rapidly at 1430 hrs. today.  scott creek fire added 1 500 acres as of 1500 hrs.  good progress made on mopping-up the hd summit and black mountain fires.. ia responsibility on nearly 3 million acres with poor accessibility and predicted hot weather and windy conditions (red flag warning until 9 pm this evening) over next several days.  lack of suppression resources.'],0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
56,2011_FL-FLS-2011-08-0782_MICANOPY_0,['put down 1200 gallons of water'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2011_FL-FLS-2011-16-0805_INDIAN PRAIRIE_1,['burnout done today'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2007_SD-PRA-070484_STAMPEDE_7,['oglala sioux tribes water supply is a concern.'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
59,2007_ID-NPF-000017_RATTLESNAKE_24,['ir flights needed to assist with the placement of the rattlesnake and concord fire locations. only reliable intelligence on fire perimeter and spread  due to heavy smoke. raines fire north of the river is now part of the rattlesnake fire  and is threatening several private residences and commercial operations. rattlesnake fire - costs - $6 872 260. acres burned usfs - 44 530; pvt. - 124. concord fire is now being reported with the rattlesnake fire. costs - $327 740. acres burned usfs - 2 122; pvt. 79.. rattlesnake and raines fires have burned together. combined fire area north of the salmon river will now be called rattlesnake fire  and acres will be reported for combined fires north of the river. community of comstock under voluntary evacuation notice. town of dixie is still under 12-24 hour pre-evacuation notice in accordance with map 4 guidance. type 1 helicopter used bucket drops to check fire spread ne of concord fire toward comstock  and to protect orogrande. crews completing structure protection at indian creek ranch  china bar  jim moore ranch. concord fire is now being reported as part of the rattlesnake fire on ics-209. structure protection completed around concord fire. structure protection continues along river corridor  at indian creek ranch  china bar  jim moore ranch  and around towns of dixie and comstock. night shift with engines will patrol communities of dixie and comstock. meeting was held to brief county commissioners  and public meeting will be held tonight in dixie.. steep terrain  ongoing and continued drought  heat stressed vegetation. the fire has reached map 2  3  5  8  12  15  & 16.  a spot from raines fire  south of river triggered map 6.  logistical support of crews spiked out at shepp ranch providing structure protection in the salmon river corridor is difficult  requiring boats and helicopters. (ie crews movement  food  equipment  and supplies).  ir flights are used to provide accurate fire perimeter maps.'],1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
60,2008_NM-CIF-000122_TRIGO_13,['the fire is being managed under a unified command with nm state forestry.  injury was firefighter with severe blisters needing medical attention.. new canyon road remains closed to the public at the forest boundary. some progress is being made in securing the southern flank.. very low relative humidity  shifting winds  low fuel moisture coupled with steep topography have created fire behavior with low to moderate rates of spread.'],0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
61,2008_NC-NCS-08-048-065_EVANS ROAD_80,['the evan�s road fire can be expected to continue presenting suppression issues until the area receives significant rainfall.  air quality issues are not a concern at this time.  a state of emergency was issued for hyde  washington  and tyrrell counties  and has been in place since 6/6/08.        the cost is less than on 08/20/2008 because miscellaneous buying team cost  demob/mob cost  and other support costs were removed that should not have been carried over.. fire continues to be monitored.  mop up of accessible hot spots. the additional pumps that were installed are working well to relieve pressure on existing dams.. small pockets of fire burning in deep organic soil.  poor accessibility.  failure of temporary dams.'],0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,2009_CA-SHU-005969_COFFIN_2,['incident transitioned to ict 3 at 1800 hours today.. significant line construction made through the day.. major problems include steep terrain  resource draw down within the unit and region to fill critial needs.'],0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,2012_OR-DEF-000537_POLE CREEK_13,['long term assessment team presented final report at 1600.. completed contingency lines.  supporting host unit with 2 initial attack task forces.  heavy mop-up and rehabilitation.. predicted lightning. nw winds keeping fire spread to the north in check.'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
64,2010_LA-SBR-010001_PHONE PINE_11,['returned to monitoring status.  active flames suppressed in timber litter today.. fire continues to be in monitoring status.  transition back to type 4 ic. difficult to access.  must be accessed by helicopter.  fire is on farthest northwest corner of sabine and private in-holding.  potential for widely spread  afternoon thunderstorms.'],0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,2013_AK-TAD-00377_LITTLE MUD_11,['this fire is being managed for resource benefit  it remains in monitor status.. 5 cabins have been identified for prepositioning of cabin protection supplies/equipment.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2011_MT-BDF-052_STEWART FIRE_10,['predicted frontal passage on thursday into friday may provide conditions favorable to uninhibited fire growth. winds from a passing thunderstorm dramatically increased fire activity during the late afternoon hours.. continued prep along forest boundary. wfm inserted into summit spike and established camp.. heavy dead and downed fuels and potential impacts to outfitter/guide permittee and livestock operators.  low relative humidities and high temperatures.'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
67,2006_WY-WRA-048_WISE FLAT_2,['transition to type 4 on 6/12/06'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2011_CA-KRN-027244_CANYON_16,"['this will be the last ics-209 that ict-6 (chaney) will submit.. during the night  significant dry lightning activity moved into the region igniting several new fires.  as of 1200 hours today  ict-6 (chaney) become in command of the ""keen"" complex with the icp remaining in its present location (tehachapi).. increased fire weather conditions could cause fire flare-ups near the line with increased risk to escape.']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,2007_AK-FAS-711169_FERRY_4,['crews gridded the seven fire areas.; nothing found. hose lays were pulled and backhaul was returned to base. one crew was demobed.. access: 7 fires were started within an 8 mile strip along the railroad. 6 of the 7 fires do not have road access. the ak rr provided 3 high rollers to transport personnel and supplies along the 8 miles of track. fire has: starting to see bear tracks  could become an issue.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2012_CA-MVU-5066_BORDER # 6_0,['fire is on us mexico border.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2012_ND-SRA-121112_CROW FLATS_2,['expected containment 8/28/12 @ 1200.. continuing mop-up.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2007_ID-TFD-002030_MURPHY COMPLEX_39,['total acreage reflects murphy complex and scotts creek fire. total cost does not reflect scotts creek fire. murphy complex acreage is 593 549. scotts creek fire is 58 482.  total acreage: 652 031. scotts creek slopover controlled today at 1300.. possibility of thunderstorms which are forecast for the next few days.'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,2010_WA-OLP-010_HOPPER_8,['fire continues to back down avalanche chutes  still well within anticipated fire area.  had slight increase in smoke activity when cold front moved through the area on afternoon of 8/26  but mainly coming from interior pockets.8/24  due to anticipated rains over the next few days over fire area.  will monitor from the air twice weekly weather permitting  unless change in smoke indicates increased burning activity. backcountry patrol staff in staircase area will keep eye on smoke to report any increases. trails remain closed in the area due to proximity to fire edge.  next report on thursday sept. 2 unless fire activity warrants update.. .'],0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
74,2006_AZ-NAA-082_KINLICHEE 02_1,['south east portion of fire complete dozer line. crews mopped up 100 feet on remaning peremeter. structure protection remains in place. residents of kinlichee community allowed to return to their homes. residens living within 1/2 mile of fire perimeter are still evacuees.. dense stand of bug killed pinon'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2006_SD-SDS-060751_EAST RIDGE_6,['continue mop up.. urban interface  very dry fuels  high temps  low humidity.'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,2007_UT-SLD-000493_KATE_2,['final report. expect to call fire out 7/22/2007. currently'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"2011_CA-NOD-3195_R-1, HOG_5",['this will be the last update for the 209 until fire is called out.. 2 ihc crews made significant progress with mopup and securing primary control lines   they were assisted by a type 3 engine. remote location and rough roads is taking toll on equipment'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2012_WY-BTF-000017_BUTTE CREEK_9,['fire had some heat near the origin showing a couple days ago but. fire is being managed per btnfs lrmp and the wilderness act.  risk management is guiding our actions.  fire is unstaffed at this time  monitoring undertaken as aerial recon becomes available and the need arises.   management action points are in place to address the fire if it becomes established on the shoshone nf.  the shoshone nf needs to be informed on fire activity and its relation to their forest.'],0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
